Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:40:36.948530,18:40:37.795942,1,-1.0
1,18:40:36.948530,18:40:38.866001,1,-1.0
1,18:40:36.948530,18:40:39.106798,1,-1.0
1,18:40:36.948530,18:40:39.336542,1,-1.0
1,18:40:36.948530,18:40:39.545630,1,-1.0
1,18:40:36.948530,18:40:39.772060,1,-1.0
1,18:40:36.948530,18:40:40.033316,1,-1.0
1,18:40:36.948530,18:40:40.396166,1,-1.0
1,18:40:36.948530,18:40:40.772763,1,-1.0
1,18:40:36.948530,18:40:41.021881,1,-1.0
1,18:40:36.948530,18:40:41.285995,1,-1.0
1,18:40:36.948530,18:40:41.534278,1,-1.0
1,18:40:36.948530,18:40:42.134006,1,-1.0
1,18:40:36.948530,18:40:42.400119,1,-1.0
1,18:40:36.948530,18:40:42.608455,1,-1.0
1,18:40:36.948530,18:40:42.915299,1,-1.0
1,18:40:36.948530,18:40:43.160313,1,-1.0
1,18:40:36.948530,18:40:43.467601,1,-1.0
1,18:40:36.948530,18:40:43.727967,1,-1.0
1,18:40:36.948530,18:40:43.971266,1,-1.0
1,18:40:36.948530,18:40:44.427396,1,-1.0
1,18:40:36.948530,18:40:44.672263,1,-1.0
1,18:40:36.948530,18:40:44.902717,1,-1.0
1,18:40:36.948530,18:40:45.143426,1,-1.0
1,18:40:36.948530,18:40:45.391370,1,-1.0
1,18:40:36.948530,18:40:45.833422,1,-1.0
1,18:40:36.948530,18:40:46.081355,-1,-1.0
1,18:40:36.948530,18:40:46.587472,1,-1.0
1,18:40:36.948530,18:40:46.898089,-1,-1.0
1,18:40:36.948530,18:40:47.397561,-1,-1.0
1,18:40:36.948530,18:40:47.803958,-1,-1.0
1,18:40:36.948530,18:40:48.182064,-1,-1.0
1,18:40:36.948530,18:40:48.588393,-1,-1.0
1,18:40:36.948530,18:40:48.861289,-1,-1.0
1,18:40:36.948530,18:40:49.159384,-1,-1.0
1,18:40:36.948530,18:40:49.499364,-1,-1.0
1,18:40:36.948530,18:40:50.011617,-1,-1.0
1,18:40:36.948530,18:40:50.526331,-1,-1.0
1,18:40:36.948530,18:40:51.324506,-1,-1.0
1,18:40:36.948530,18:40:51.814776,1,-1.0
1,18:40:36.948530,18:40:52.010926,1,-1.0
1,18:40:36.948530,18:40:52.244541,1,-1.0
1,18:40:36.948530,18:40:52.421828,1,-1.0
1,18:40:36.948530,18:40:52.611720,1,-1.0
1,18:40:36.948530,18:40:52.786840,1,-1.0
1,18:40:36.948530,18:40:53.003591,1,-1.0
1,18:40:36.948530,18:40:53.235536,1,-1.0
1,18:40:36.948530,18:40:53.454114,1,-1.0
1,18:40:36.948530,18:40:53.674996,1,-1.0
1,18:40:36.948530,18:40:53.891290,1,-1.0
1,18:40:36.948530,18:40:54.072198,1,-1.0
1,18:40:36.948530,18:40:54.271334,1,-1.0
1,18:40:36.948530,18:40:54.488528,1,-1.0
1,18:40:36.948530,18:40:54.704419,1,-1.0
1,18:40:36.948530,18:40:54.903328,1,-1.0
1,18:40:36.948530,18:40:55.102615,1,-1.0
1,18:40:36.948530,18:40:55.322068,1,-1.0
1,18:40:36.948530,18:40:55.521649,1,-1.0
1,18:40:36.948530,18:40:55.754781,1,-1.0
1,18:40:36.948530,18:40:56.040678,1,-1.0
1,18:40:36.948530,18:40:56.288135,1,-1.0
1,18:40:36.948530,18:40:56.488130,1,-1.0
1,18:40:36.948530,18:40:56.736661,1,-1.0
1,18:40:36.948530,18:40:56.993737,1,-1.0
1,18:40:36.948530,18:40:57.236845,1,-1.0
1,18:40:36.948530,18:40:57.484488,1,-1.0
