Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:57:09.585948,15:57:10.872782,1,-1.0
1,15:57:09.585948,15:57:11.074594,1,-1.0
1,15:57:09.585948,15:57:12.419843,1,-1.0
1,15:57:09.585948,15:57:12.837924,1,-1.0
1,15:57:09.585948,15:57:13.010242,1,-1.0
1,15:57:09.585948,15:57:13.473180,1,-1.0
1,15:57:09.585948,15:57:13.613623,1,-1.0
1,15:57:09.585948,15:57:13.771454,1,-1.0
1,15:57:09.585948,15:57:13.954655,1,-1.0
1,15:57:09.585948,15:57:14.202971,1,-1.0
1,15:57:09.585948,15:57:14.386554,1,-1.0
1,15:57:09.585948,15:57:14.536364,1,-1.0
1,15:57:09.585948,15:57:14.715726,1,-1.0
1,15:57:09.585948,15:57:14.902216,1,-1.0
1,15:57:09.585948,15:57:15.056783,1,-1.0
1,15:57:09.585948,15:57:15.211068,1,-1.0
1,15:57:09.585948,15:57:15.367339,1,-1.0
1,15:57:09.585948,15:57:15.531151,1,-1.0
1,15:57:09.585948,15:57:15.797625,1,-1.0
1,15:57:09.585948,15:57:15.970444,1,-1.0
1,15:57:09.585948,15:57:16.245675,1,-1.0
1,15:57:09.585948,15:57:16.428350,1,-1.0
1,15:57:09.585948,15:57:16.848165,1,-1.0
1,15:57:09.585948,15:57:17.125553,1,-1.0
1,15:57:09.585948,15:57:17.368827,1,-1.0
1,15:57:09.585948,15:57:17.587426,1,-1.0
1,15:57:09.585948,15:57:17.869364,1,-1.0
1,15:57:09.585948,15:57:18.091779,1,-1.0
1,15:57:09.585948,15:57:18.316357,1,-1.0
1,15:57:09.585948,15:57:18.566038,1,-1.0
1,15:57:09.585948,15:57:18.870303,-1,-1.0
1,15:57:09.585948,15:57:20.456198,1,-1.0
1,15:57:09.585948,15:57:20.797633,1,-1.0
1,15:57:09.585948,15:57:20.965918,1,-1.0
1,15:57:09.585948,15:57:21.126462,1,-1.0
1,15:57:09.585948,15:57:21.279326,1,-1.0
1,15:57:09.585948,15:57:21.427129,1,-1.0
1,15:57:09.585948,15:57:21.598920,1,-1.0
1,15:57:09.585948,15:57:21.779637,1,-1.0
1,15:57:09.585948,15:57:21.934672,1,-1.0
1,15:57:09.585948,15:57:22.134776,1,-1.0
1,15:57:09.585948,15:57:22.389175,1,-1.0
1,15:57:09.585948,15:57:22.586469,1,-1.0
1,15:57:09.585948,15:57:22.782482,1,-1.0
1,15:57:09.585948,15:57:23.026816,1,-1.0
1,15:57:09.585948,15:57:23.246173,1,-1.0
1,15:57:09.585948,15:57:23.498693,1,-1.0
1,15:57:09.585948,15:57:23.720202,1,-1.0
1,15:57:09.585948,15:57:23.986300,1,-1.0
1,15:57:09.585948,15:57:24.243662,1,-1.0
1,15:57:09.585948,15:57:24.686220,1,-1.0
1,15:57:09.585948,15:57:25.020827,1,-1.0
1,15:57:09.585948,15:57:25.338552,-1,-1.0
1,15:57:09.585948,15:57:25.529238,-1,-1.0
1,15:57:09.585948,15:57:25.720318,-1,-1.0
1,15:57:09.585948,15:57:25.909197,-1,-1.0
1,15:57:09.585948,15:57:26.120271,-1,-1.0
1,15:57:09.585948,15:57:26.321915,-1,-1.0
1,15:57:09.585948,15:57:26.557983,-1,-1.0
1,15:57:09.585948,15:57:26.840816,-1,-1.0
1,15:57:09.585948,15:57:27.199037,-1,-1.0
1,15:57:09.585948,15:57:27.735377,-1,-1.0
1,15:57:09.585948,15:57:29.225922,-1,-1.0
1,15:57:09.585948,15:57:30.060504,1,-1.0
1,15:57:09.585948,15:57:30.282017,1,-1.0
1,15:57:09.585948,15:57:30.476455,1,-1.0
1,15:57:09.585948,15:57:30.687824,1,-1.0
1,15:57:09.585948,15:57:30.882055,1,-1.0
1,15:57:09.585948,15:57:31.097782,1,-1.0
1,15:57:09.585948,15:57:31.377767,1,-1.0
1,15:57:09.585948,15:57:31.618868,1,-1.0
1,15:57:09.585948,15:57:31.899038,1,-1.0
1,15:57:09.585948,15:57:32.150732,1,-1.0
1,15:57:09.585948,15:57:32.525191,1,-1.0
1,15:57:09.585948,15:57:32.823192,1,-1.0
1,15:57:09.585948,15:57:33.106370,1,-1.0
1,15:57:09.585948,15:57:33.340079,1,-1.0
1,15:57:09.585948,15:57:33.587535,1,-1.0
1,15:57:09.585948,15:57:33.779776,1,-1.0
1,15:57:09.585948,15:57:34.057839,1,-1.0
1,15:57:09.585948,15:57:34.265907,1,-1.0
1,15:57:09.585948,15:57:34.528491,1,-1.0
1,15:57:09.585948,15:57:34.707231,1,-1.0
1,15:57:09.585948,15:57:34.909709,1,-1.0
1,15:57:09.585948,15:57:35.120454,1,-1.0
1,15:57:09.585948,15:57:35.325375,1,-1.0
1,15:57:09.585948,15:57:35.542215,1,-1.0
1,15:57:09.585948,15:57:35.688097,1,-1.0
1,15:57:09.585948,15:57:35.891700,1,-1.0
1,15:57:09.585948,15:57:36.193876,1,-1.0
1,15:57:09.585948,15:57:36.350029,1,-1.0
1,15:57:09.585948,15:57:36.571617,1,-1.0
1,15:57:09.585948,15:57:36.778951,1,-1.0
1,15:57:09.585948,15:57:37.037791,1,-1.0
1,15:57:09.585948,15:57:38.340913,-1,-1.0
1,15:57:09.585948,15:57:38.914594,-1,-1.0
1,15:57:09.585948,15:57:39.134713,-1,-1.0
1,15:57:09.585948,15:57:39.409675,-1,-1.0
1,15:57:09.585948,15:57:39.702688,-1,-1.0
1,15:57:09.585948,15:57:39.942257,-1,-1.0
1,15:57:09.585948,15:57:40.167056,-1,-1.0
1,15:57:09.585948,15:57:40.392173,-1,-1.0
1,15:57:09.585948,15:57:40.625864,-1,-1.0
1,15:57:09.585948,15:57:40.867149,-1,-1.0
1,15:57:09.585948,15:57:41.309275,1,-1.0
1,15:57:09.585948,15:57:41.487515,1,-1.0
1,15:57:09.585948,15:57:41.653778,1,-1.0
1,15:57:09.585948,15:57:41.838089,1,-1.0
1,15:57:09.585948,15:57:41.977849,1,-1.0
1,15:57:09.585948,15:57:42.260396,1,-1.0
1,15:57:09.585948,15:57:42.451262,1,-1.0
1,15:57:09.585948,15:57:42.748410,1,-1.0
1,15:57:09.585948,15:57:42.962264,1,-1.0
1,15:57:09.585948,15:57:43.172573,1,-1.0
1,15:57:09.585948,15:57:43.384456,1,-1.0
1,15:57:09.585948,15:57:43.608410,1,-1.0
1,15:57:09.585948,15:57:43.868697,1,-1.0
1,15:57:09.585948,15:57:44.262057,1,-1.0
1,15:57:09.585948,15:57:44.481250,1,-1.0
1,15:57:09.585948,15:57:44.733431,1,-1.0
1,15:57:09.585948,15:57:44.961230,1,-1.0
1,15:57:09.585948,15:57:45.197436,1,-1.0
1,15:57:09.585948,15:57:45.428989,1,-1.0
1,15:57:09.585948,15:57:45.665354,1,-1.0
1,15:57:09.585948,15:57:45.838542,1,-1.0
1,15:57:09.585948,15:57:46.114170,1,-1.0
1,15:57:09.585948,15:57:46.326959,1,-1.0
1,15:57:09.585948,15:57:46.537587,1,-1.0
1,15:57:09.585948,15:57:46.751393,1,-1.0
1,15:57:09.585948,15:57:46.949595,1,-1.0
1,15:57:09.585948,15:57:47.168488,1,-1.0
1,15:57:09.585948,15:57:47.378991,1,-1.0
1,15:57:09.585948,15:57:47.602821,1,-1.0
1,15:57:09.585948,15:57:47.838593,1,-1.0
1,15:57:09.585948,15:57:48.095534,1,-1.0
1,15:57:09.585948,15:57:48.360883,1,-1.0
1,15:57:09.585948,15:57:48.588043,-1,-1.0
1,15:57:09.585948,15:57:48.801086,-1,-1.0
1,15:57:09.585948,15:57:48.982341,-1,-1.0
1,15:57:09.585948,15:57:49.160642,-1,-1.0
1,15:57:09.585948,15:57:49.475870,-1,-1.0
1,15:57:09.585948,15:57:49.684596,-1,-1.0
1,15:57:09.585948,15:57:50.052331,1,-1.0
1,15:57:09.585948,15:57:50.297932,1,-1.0
1,15:57:09.585948,15:57:50.538612,1,-1.0
1,15:57:09.585948,15:57:50.711008,1,-1.0
1,15:57:09.585948,15:57:50.924235,1,-1.0
1,15:57:09.585948,15:57:51.117914,1,-1.0
1,15:57:09.585948,15:57:51.333411,1,-1.0
1,15:57:09.585948,15:57:51.557385,1,-1.0
1,15:57:09.585948,15:57:51.755896,1,-1.0
1,15:57:09.585948,15:57:51.974711,1,-1.0
1,15:57:09.585948,15:57:52.173753,1,-1.0
1,15:57:09.585948,15:57:52.419065,1,-1.0
1,15:57:09.585948,15:57:52.628381,1,-1.0
1,15:57:09.585948,15:57:52.885644,1,-1.0
1,15:57:09.585948,15:57:53.115391,1,-1.0
1,15:57:09.585948,15:57:53.344598,1,-1.0
1,15:57:09.585948,15:57:53.585244,1,-1.0
1,15:57:09.585948,15:57:53.814674,1,-1.0
1,15:57:09.585948,15:57:54.038947,1,-1.0
1,15:57:09.585948,15:57:54.264670,1,-1.0
1,15:57:09.585948,15:57:54.727567,1,-1.0
1,15:57:09.585948,15:57:54.988930,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,15:57:54.993008,15:57:55.478388,-1,-1.0
2,15:57:54.993008,15:57:59.242389,1,-1.0
2,15:57:54.993008,15:57:59.535918,1,-1.0
2,15:57:54.993008,15:57:59.756210,1,-1.0
2,15:57:54.993008,15:57:59.994104,1,-1.0
2,15:57:54.993008,15:58:00.231221,1,-1.0
2,15:57:54.993008,15:58:00.437080,1,-1.0
2,15:57:54.993008,15:58:00.683035,1,-1.0
2,15:57:54.993008,15:58:01.875569,1,-1.0
2,15:57:54.993008,15:58:02.128652,1,-1.0
2,15:57:54.993008,15:58:02.550597,-1,-1.0
2,15:57:54.993008,15:58:02.950991,1,-1.0
2,15:57:54.993008,15:58:03.232017,1,-1.0
2,15:57:54.993008,15:58:03.538082,1,-1.0
