Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:16:54.218894,18:16:55.592133,1,-1.0
1,18:16:54.218894,18:16:55.752844,1,-1.0
1,18:16:54.218894,18:16:55.906621,1,-1.0
1,18:16:54.218894,18:16:56.045395,1,-1.0
1,18:16:54.218894,18:16:56.191960,1,-1.0
1,18:16:54.218894,18:16:56.339885,1,-1.0
1,18:16:54.218894,18:16:56.507055,1,-1.0
1,18:16:54.218894,18:16:56.658942,1,-1.0
1,18:16:54.218894,18:16:56.806143,1,-1.0
1,18:16:54.218894,18:16:56.968259,1,-1.0
1,18:16:54.218894,18:16:57.133224,1,-1.0
1,18:16:54.218894,18:16:57.303647,1,-1.0
1,18:16:54.218894,18:16:57.444533,1,-1.0
1,18:16:54.218894,18:16:57.589969,1,-1.0
1,18:16:54.218894,18:16:57.751510,1,-1.0
1,18:16:54.218894,18:16:57.901443,1,-1.0
1,18:16:54.218894,18:16:58.062373,1,-1.0
1,18:16:54.218894,18:16:58.211484,1,-1.0
1,18:16:54.218894,18:16:58.367173,1,-1.0
1,18:16:54.218894,18:16:58.517771,1,-1.0
1,18:16:54.218894,18:16:58.660848,1,-1.0
1,18:16:54.218894,18:16:58.807118,1,-1.0
1,18:16:54.218894,18:16:58.972168,1,-1.0
1,18:16:54.218894,18:16:59.135644,1,-1.0
1,18:16:54.218894,18:16:59.291577,1,-1.0
1,18:16:54.218894,18:16:59.445120,1,-1.0
1,18:16:54.218894,18:16:59.599071,1,-1.0
1,18:16:54.218894,18:16:59.769447,1,-1.0
1,18:16:54.218894,18:16:59.937425,1,-1.0
1,18:16:54.218894,18:17:00.109729,1,-1.0
1,18:16:54.218894,18:17:00.265962,1,-1.0
1,18:16:54.218894,18:17:00.441570,1,-1.0
1,18:16:54.218894,18:17:00.579445,1,-1.0
1,18:16:54.218894,18:17:00.741288,1,-1.0
1,18:16:54.218894,18:17:00.904120,1,-1.0
1,18:16:54.218894,18:17:01.099318,-1,-1.0
1,18:16:54.218894,18:17:01.630872,-1,-1.0
1,18:16:54.218894,18:17:02.015388,-1,-1.0
1,18:16:54.218894,18:17:02.360228,-1,-1.0
1,18:16:54.218894,18:17:02.808850,-1,-1.0
1,18:16:54.218894,18:17:03.184114,-1,-1.0
1,18:16:54.218894,18:17:03.517015,-1,-1.0
1,18:16:54.218894,18:17:03.823690,-1,-1.0
1,18:16:54.218894,18:17:04.162705,-1,-1.0
1,18:16:54.218894,18:17:04.507516,-1,-1.0
1,18:16:54.218894,18:17:04.835953,-1,-1.0
1,18:16:54.218894,18:17:05.151373,-1,-1.0
1,18:16:54.218894,18:17:05.645228,-1,-1.0
1,18:16:54.218894,18:17:06.139152,1,-1.0
1,18:16:54.218894,18:17:06.286193,1,-1.0
1,18:16:54.218894,18:17:06.433059,1,-1.0
1,18:16:54.218894,18:17:06.573942,1,-1.0
1,18:16:54.218894,18:17:06.713370,1,-1.0
1,18:16:54.218894,18:17:06.848150,1,-1.0
1,18:16:54.218894,18:17:06.982339,1,-1.0
1,18:16:54.218894,18:17:07.119875,1,-1.0
1,18:16:54.218894,18:17:07.272763,1,-1.0
1,18:16:54.218894,18:17:07.429026,1,-1.0
1,18:16:54.218894,18:17:07.587334,1,-1.0
1,18:16:54.218894,18:17:07.745347,1,-1.0
1,18:16:54.218894,18:17:07.889202,1,-1.0
1,18:16:54.218894,18:17:08.040864,1,-1.0
1,18:16:54.218894,18:17:08.202307,1,-1.0
1,18:16:54.218894,18:17:08.355360,1,-1.0
1,18:16:54.218894,18:17:08.526076,1,-1.0
1,18:16:54.218894,18:17:08.696177,1,-1.0
1,18:16:54.218894,18:17:08.851809,1,-1.0
1,18:16:54.218894,18:17:09.000870,1,-1.0
1,18:16:54.218894,18:17:09.158217,1,-1.0
1,18:16:54.218894,18:17:09.316752,1,-1.0
1,18:16:54.218894,18:17:09.484382,1,-1.0
1,18:16:54.218894,18:17:09.631044,1,-1.0
1,18:16:54.218894,18:17:09.804173,1,-1.0
1,18:16:54.218894,18:17:09.962185,1,-1.0
1,18:16:54.218894,18:17:10.131314,1,-1.0
1,18:16:54.218894,18:17:10.290859,1,-1.0
1,18:16:54.218894,18:17:10.439153,1,-1.0
1,18:16:54.218894,18:17:10.614279,1,-1.0
1,18:16:54.218894,18:17:10.783355,1,-1.0
1,18:16:54.218894,18:17:10.967461,1,-1.0
1,18:16:54.218894,18:17:11.134286,1,-1.0
1,18:16:54.218894,18:17:11.294369,1,-1.0
1,18:16:54.218894,18:17:11.474122,1,-1.0
1,18:16:54.218894,18:17:11.708263,-1,-1.0
1,18:16:54.218894,18:17:12.021625,-1,-1.0
1,18:16:54.218894,18:17:12.310988,-1,-1.0
1,18:16:54.218894,18:17:12.524051,-1,-1.0
1,18:16:54.218894,18:17:12.735246,-1,-1.0
1,18:16:54.218894,18:17:12.957234,-1,-1.0
1,18:16:54.218894,18:17:13.216984,-1,-1.0
1,18:16:54.218894,18:17:13.454288,-1,-1.0
1,18:16:54.218894,18:17:13.648118,-1,-1.0
1,18:16:54.218894,18:17:13.905349,1,-1.0
1,18:16:54.218894,18:17:14.041243,1,-1.0
1,18:16:54.218894,18:17:14.175492,1,-1.0
1,18:16:54.218894,18:17:14.323235,1,-1.0
1,18:16:54.218894,18:17:14.457981,1,-1.0
1,18:16:54.218894,18:17:14.612442,1,-1.0
1,18:16:54.218894,18:17:14.750350,1,-1.0
