Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:01:39.008831,19:01:40.467423,1,-1.0
1,19:01:39.008831,19:01:40.767428,1,-1.0
1,19:01:39.008831,19:01:41.318508,1,-1.0
1,19:01:39.008831,19:01:41.524405,1,-1.0
1,19:01:39.008831,19:01:41.710608,1,-1.0
1,19:01:39.008831,19:01:41.909071,1,-1.0
1,19:01:39.008831,19:01:42.092619,1,-1.0
1,19:01:39.008831,19:01:42.280621,1,-1.0
1,19:01:39.008831,19:01:42.468163,1,-1.0
1,19:01:39.008831,19:01:42.660124,1,-1.0
1,19:01:39.008831,19:01:42.850484,1,-1.0
1,19:01:39.008831,19:01:43.041972,1,-1.0
1,19:01:39.008831,19:01:43.256073,1,-1.0
1,19:01:39.008831,19:01:43.463363,1,-1.0
1,19:01:39.008831,19:01:43.663809,1,-1.0
1,19:01:39.008831,19:01:43.871033,1,-1.0
1,19:01:39.008831,19:01:44.086694,1,-1.0
1,19:01:39.008831,19:01:44.309754,1,-1.0
1,19:01:39.008831,19:01:44.534933,1,-1.0
1,19:01:39.008831,19:01:44.728355,1,-1.0
1,19:01:39.008831,19:01:44.939981,1,-1.0
1,19:01:39.008831,19:01:45.146695,1,-1.0
1,19:01:39.008831,19:01:45.388898,1,-1.0
1,19:01:39.008831,19:01:45.639051,1,-1.0
1,19:01:39.008831,19:01:45.880393,-1,-1.0
1,19:01:39.008831,19:01:46.087917,-1,-1.0
1,19:01:39.008831,19:01:46.282971,-1,-1.0
1,19:01:39.008831,19:01:46.665399,-1,-1.0
1,19:01:39.008831,19:01:47.021496,-1,-1.0
1,19:01:39.008831,19:01:47.566627,-1,-1.0
1,19:01:39.008831,19:01:47.976685,-1,-1.0
1,19:01:39.008831,19:01:48.279079,-1,-1.0
1,19:01:39.008831,19:01:48.558226,-1,-1.0
1,19:01:39.008831,19:01:48.833610,-1,-1.0
1,19:01:39.008831,19:01:49.124269,-1,-1.0
1,19:01:39.008831,19:01:49.584644,1,-1.0
1,19:01:39.008831,19:01:49.780727,1,-1.0
1,19:01:39.008831,19:01:49.958510,1,-1.0
1,19:01:39.008831,19:01:50.150696,1,-1.0
1,19:01:39.008831,19:01:50.345870,1,-1.0
1,19:01:39.008831,19:01:50.567147,1,-1.0
1,19:01:39.008831,19:01:50.749446,1,-1.0
1,19:01:39.008831,19:01:51.183063,1,-1.0
1,19:01:39.008831,19:01:51.404629,1,-1.0
1,19:01:39.008831,19:01:51.594098,1,-1.0
1,19:01:39.008831,19:01:51.814026,1,-1.0
1,19:01:39.008831,19:01:52.002108,1,-1.0
1,19:01:39.008831,19:01:52.245343,1,-1.0
1,19:01:39.008831,19:01:52.460675,1,-1.0
1,19:01:39.008831,19:01:52.666571,1,-1.0
1,19:01:39.008831,19:01:52.903296,1,-1.0
1,19:01:39.008831,19:01:53.103640,1,-1.0
1,19:01:39.008831,19:01:53.311746,1,-1.0
1,19:01:39.008831,19:01:53.566866,1,-1.0
1,19:01:39.008831,19:01:53.746992,1,-1.0
1,19:01:39.008831,19:01:53.984582,1,-1.0
1,19:01:39.008831,19:01:54.193068,1,-1.0
1,19:01:39.008831,19:01:54.408565,1,-1.0
1,19:01:39.008831,19:01:54.625938,1,-1.0
1,19:01:39.008831,19:01:54.835171,1,-1.0
1,19:01:39.008831,19:01:55.066102,1,-1.0
1,19:01:39.008831,19:01:55.300793,1,-1.0
1,19:01:39.008831,19:01:55.517206,1,-1.0
1,19:01:39.008831,19:01:55.716626,1,-1.0
1,19:01:39.008831,19:01:55.964825,1,-1.0
1,19:01:39.008831,19:01:56.218824,1,-1.0
1,19:01:39.008831,19:01:56.530369,1,-1.0
1,19:01:39.008831,19:01:56.783724,1,-1.0
1,19:01:39.008831,19:01:57.182668,1,-1.0
1,19:01:39.008831,19:01:57.580818,-1,-1.0
1,19:01:39.008831,19:01:57.999968,-1,-1.0
1,19:01:39.008831,19:01:58.266925,-1,-1.0
1,19:01:39.008831,19:01:58.647764,-1,-1.0
1,19:01:39.008831,19:01:58.927389,-1,-1.0
1,19:01:39.008831,19:01:59.168351,-1,-1.0
1,19:01:39.008831,19:01:59.558465,-1,-1.0
1,19:01:39.008831,19:01:59.961213,1,-1.0
1,19:01:39.008831,19:02:00.271648,-1,-1.0
1,19:01:39.008831,19:02:00.737420,-1,-1.0
1,19:01:39.008831,19:02:01.145192,1,-1.0
1,19:01:39.008831,19:02:01.333965,1,-1.0
1,19:01:39.008831,19:02:01.781987,-1,-1.0
1,19:01:39.008831,19:02:02.524152,-1,-1.0
1,19:01:39.008831,19:02:03.027211,-1,-1.0
1,19:01:39.008831,19:02:03.499765,1,-1.0
1,19:01:39.008831,19:02:03.744863,1,-1.0
1,19:01:39.008831,19:02:03.985969,1,-1.0
1,19:01:39.008831,19:02:04.187729,1,-1.0
1,19:01:39.008831,19:02:04.411844,1,-1.0
1,19:01:39.008831,19:02:04.631773,1,-1.0
1,19:01:39.008831,19:02:04.844309,1,-1.0
1,19:01:39.008831,19:02:05.065123,1,-1.0
1,19:01:39.008831,19:02:05.329068,1,-1.0
1,19:01:39.008831,19:02:05.548675,1,-1.0
1,19:01:39.008831,19:02:05.750890,1,-1.0
1,19:01:39.008831,19:02:05.986182,1,-1.0
1,19:01:39.008831,19:02:06.211810,1,-1.0
1,19:01:39.008831,19:02:06.446506,1,-1.0
1,19:01:39.008831,19:02:06.709265,-1,-1.0
1,19:01:39.008831,19:02:07.132620,-1,-1.0
1,19:01:39.008831,19:02:07.614957,1,-1.0
1,19:01:39.008831,19:02:07.818504,1,-1.0
1,19:01:39.008831,19:02:08.060056,1,-1.0
1,19:01:39.008831,19:02:08.248941,1,-1.0
1,19:01:39.008831,19:02:08.436366,1,-1.0
1,19:01:39.008831,19:02:08.651492,1,-1.0
1,19:01:39.008831,19:02:08.866222,1,-1.0
1,19:01:39.008831,19:02:09.098235,1,-1.0
1,19:01:39.008831,19:02:09.324198,1,-1.0
1,19:01:39.008831,19:02:09.560849,1,-1.0
1,19:01:39.008831,19:02:09.803731,1,-1.0
1,19:01:39.008831,19:02:10.051334,1,-1.0
1,19:01:39.008831,19:02:10.264293,1,-1.0
1,19:01:39.008831,19:02:10.504511,1,-1.0
1,19:01:39.008831,19:02:10.750563,1,-1.0
1,19:01:39.008831,19:02:10.988121,1,-1.0
1,19:01:39.008831,19:02:11.254875,1,-1.0
1,19:01:39.008831,19:02:11.507532,1,-1.0
1,19:01:39.008831,19:02:11.716385,1,-1.0
1,19:01:39.008831,19:02:11.916815,1,-1.0
1,19:01:39.008831,19:02:12.196708,1,-1.0
1,19:01:39.008831,19:02:12.450209,1,-1.0
1,19:01:39.008831,19:02:12.663458,1,-1.0
1,19:01:39.008831,19:02:12.918564,1,-1.0
1,19:01:39.008831,19:02:13.137789,1,-1.0
1,19:01:39.008831,19:02:13.369233,1,-1.0
1,19:01:39.008831,19:02:13.571425,1,-1.0
1,19:01:39.008831,19:02:13.765525,1,-1.0
1,19:01:39.008831,19:02:13.978688,1,-1.0
1,19:01:39.008831,19:02:14.191309,1,-1.0
1,19:01:39.008831,19:02:14.360839,1,-1.0
1,19:01:39.008831,19:02:14.559454,1,-1.0
1,19:01:39.008831,19:02:14.763445,1,-1.0
1,19:01:39.008831,19:02:14.984016,1,-1.0
1,19:01:39.008831,19:02:15.193913,1,-1.0
1,19:01:39.008831,19:02:15.409929,1,-1.0
1,19:01:39.008831,19:02:15.626851,1,-1.0
1,19:01:39.008831,19:02:15.834515,1,-1.0
1,19:01:39.008831,19:02:16.046882,1,-1.0
1,19:01:39.008831,19:02:16.282437,1,-1.0
1,19:01:39.008831,19:02:16.485754,1,-1.0
1,19:01:39.008831,19:02:16.681024,1,-1.0
1,19:01:39.008831,19:02:16.905431,1,-1.0
1,19:01:39.008831,19:02:17.124109,1,-1.0
1,19:01:39.008831,19:02:17.400471,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,19:11:59.352704,19:12:01.623139,1,-1.0
2,19:11:59.352704,19:12:01.862910,-1,-1.0
2,19:11:59.352704,19:12:01.883717,1,-1.0
2,19:11:59.352704,19:12:02.151713,1,-1.0
2,19:11:59.352704,19:12:02.376811,1,-1.0
2,19:11:59.352704,19:12:02.682072,1,-1.0
2,19:11:59.352704,19:12:02.900928,1,-1.0
2,19:11:59.352704,19:12:03.073112,1,-1.0
2,19:11:59.352704,19:12:03.284197,1,-1.0
2,19:11:59.352704,19:12:03.477974,1,-1.0
2,19:11:59.352704,19:12:03.676376,1,-1.0
2,19:11:59.352704,19:12:03.871234,1,-1.0
2,19:11:59.352704,19:12:04.068556,1,-1.0
2,19:11:59.352704,19:12:04.274755,1,-1.0
2,19:11:59.352704,19:12:05.025981,1,-1.0
2,19:11:59.352704,19:12:05.225879,1,-1.0
2,19:11:59.352704,19:12:05.414281,1,-1.0
2,19:11:59.352704,19:12:05.623317,1,-1.0
2,19:11:59.352704,19:12:05.859198,1,-1.0
2,19:11:59.352704,19:12:06.050650,1,-1.0
2,19:11:59.352704,19:12:06.242229,1,-1.0
2,19:11:59.352704,19:12:06.433162,1,-1.0
2,19:11:59.352704,19:12:06.631423,1,-1.0
2,19:11:59.352704,19:12:06.845978,1,-1.0
2,19:11:59.352704,19:12:07.034793,1,-1.0
2,19:11:59.352704,19:12:07.224318,1,-1.0
2,19:11:59.352704,19:12:07.416253,1,-1.0
2,19:11:59.352704,19:12:07.590122,1,-1.0
2,19:11:59.352704,19:12:07.799183,1,-1.0
2,19:11:59.352704,19:12:08.026282,-1,-1.0
2,19:11:59.352704,19:12:08.340271,-1,-1.0
2,19:11:59.352704,19:12:08.637062,-1,-1.0
2,19:11:59.352704,19:12:08.878608,-1,-1.0
2,19:11:59.352704,19:12:09.182937,-1,-1.0
2,19:11:59.352704,19:12:09.513768,-1,-1.0
2,19:11:59.352704,19:12:09.964776,1,-1.0
2,19:11:59.352704,19:12:10.136251,1,-1.0
2,19:11:59.352704,19:12:10.303655,1,-1.0
2,19:11:59.352704,19:12:10.465983,1,-1.0
2,19:11:59.352704,19:12:10.621668,1,-1.0
2,19:11:59.352704,19:12:10.791051,1,-1.0
2,19:11:59.352704,19:12:10.964162,1,-1.0
2,19:11:59.352704,19:12:11.115290,1,-1.0
2,19:11:59.352704,19:12:11.276857,1,-1.0
2,19:11:59.352704,19:12:11.464622,1,-1.0
2,19:11:59.352704,19:12:11.637400,1,-1.0
2,19:11:59.352704,19:12:11.829590,1,-1.0
2,19:11:59.352704,19:12:12.021600,1,-1.0
2,19:11:59.352704,19:12:12.206843,1,-1.0
2,19:11:59.352704,19:12:12.406663,1,-1.0
2,19:11:59.352704,19:12:12.597874,1,-1.0
2,19:11:59.352704,19:12:12.786458,1,-1.0
2,19:11:59.352704,19:12:13.012995,1,-1.0
2,19:11:59.352704,19:12:13.191434,1,-1.0
2,19:11:59.352704,19:12:13.380986,1,-1.0
2,19:11:59.352704,19:12:13.572163,1,-1.0
2,19:11:59.352704,19:12:13.759479,1,-1.0
2,19:11:59.352704,19:12:13.952875,1,-1.0
2,19:11:59.352704,19:12:14.210505,1,-1.0
2,19:11:59.352704,19:12:14.485840,-1,-1.0
2,19:11:59.352704,19:12:14.775571,-1,-1.0
2,19:11:59.352704,19:12:14.964522,-1,-1.0
2,19:11:59.352704,19:12:15.256821,1,-1.0
2,19:11:59.352704,19:12:15.431132,1,-1.0
2,19:11:59.352704,19:12:15.623297,1,-1.0
2,19:11:59.352704,19:12:15.804787,1,-1.0
2,19:11:59.352704,19:12:15.999439,1,-1.0
2,19:11:59.352704,19:12:16.201761,1,-1.0
2,19:11:59.352704,19:12:16.413453,1,-1.0
2,19:11:59.352704,19:12:16.624411,1,-1.0
2,19:11:59.352704,19:12:16.811702,1,-1.0
2,19:11:59.352704,19:12:17.022882,1,-1.0
2,19:11:59.352704,19:12:17.276285,1,-1.0
2,19:11:59.352704,19:12:17.452227,1,-1.0
2,19:11:59.352704,19:12:17.685641,1,-1.0
2,19:11:59.352704,19:12:17.879600,1,-1.0
2,19:11:59.352704,19:12:18.071495,1,-1.0
2,19:11:59.352704,19:12:18.292760,1,-1.0
2,19:11:59.352704,19:12:18.500744,1,-1.0
2,19:11:59.352704,19:12:18.776884,1,-1.0
2,19:11:59.352704,19:12:18.992601,1,-1.0
2,19:11:59.352704,19:12:19.247147,1,-1.0
2,19:11:59.352704,19:12:19.485010,1,-1.0
2,19:11:59.352704,19:12:19.727326,1,-1.0
2,19:11:59.352704,19:12:20.390691,1,-1.0
2,19:11:59.352704,19:12:20.588781,1,-1.0
2,19:11:59.352704,19:12:20.788038,1,-1.0
2,19:11:59.352704,19:12:21.011707,1,-1.0
2,19:11:59.352704,19:12:21.223327,1,-1.0
2,19:11:59.352704,19:12:21.452077,1,-1.0
2,19:11:59.352704,19:12:21.677475,1,-1.0
2,19:11:59.352704,19:12:21.896136,1,-1.0
2,19:11:59.352704,19:12:22.372114,1,-1.0
2,19:11:59.352704,19:12:22.584384,1,-1.0
2,19:11:59.352704,19:12:22.853624,1,-1.0
2,19:11:59.352704,19:12:23.065099,1,-1.0
2,19:11:59.352704,19:12:23.323587,1,-1.0
2,19:11:59.352704,19:12:23.563728,1,-1.0
2,19:11:59.352704,19:12:23.833001,1,-1.0
2,19:11:59.352704,19:12:24.057892,1,-1.0
2,19:11:59.352704,19:12:24.287186,1,-1.0
2,19:11:59.352704,19:12:24.533046,1,-1.0
2,19:11:59.352704,19:12:24.793276,1,-1.0
2,19:11:59.352704,19:12:25.027947,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,19:13:14.357312,19:13:15.341243,1,-1.0
3,19:13:14.357312,19:13:15.559812,1,-1.0
3,19:13:14.357312,19:13:15.798697,1,-1.0
3,19:13:14.357312,19:13:15.998636,1,-1.0
3,19:13:14.357312,19:13:16.177571,1,-1.0
3,19:13:14.357312,19:13:16.426191,1,-1.0
3,19:13:14.357312,19:13:17.122290,1,-1.0
3,19:13:14.357312,19:13:17.315516,1,-1.0
3,19:13:14.357312,19:13:17.510699,1,-1.0
3,19:13:14.357312,19:13:17.689924,1,-1.0
3,19:13:14.357312,19:13:17.870765,1,-1.0
3,19:13:14.357312,19:13:18.072478,1,-1.0
3,19:13:14.357312,19:13:18.305447,1,-1.0
3,19:13:14.357312,19:13:18.484294,1,-1.0
3,19:13:14.357312,19:13:18.663607,1,-1.0
3,19:13:14.357312,19:13:18.900213,1,-1.0
3,19:13:14.357312,19:13:19.073333,1,-1.0
3,19:13:14.357312,19:13:19.254844,1,-1.0
3,19:13:14.357312,19:13:19.436713,1,-1.0
3,19:13:14.357312,19:13:19.637452,1,-1.0
3,19:13:14.357312,19:13:19.837864,1,-1.0
3,19:13:14.357312,19:13:20.072099,1,-1.0
3,19:13:14.357312,19:13:20.256283,1,-1.0
3,19:13:14.357312,19:13:20.436861,1,-1.0
3,19:13:14.357312,19:13:20.622223,1,-1.0
3,19:13:14.357312,19:13:20.813982,1,-1.0
3,19:13:14.357312,19:13:21.004749,1,-1.0
3,19:13:14.357312,19:13:21.179685,1,-1.0
3,19:13:14.357312,19:13:21.371693,1,-1.0
3,19:13:14.357312,19:13:21.554627,1,-1.0
3,19:13:14.357312,19:13:21.740752,1,-1.0
3,19:13:14.357312,19:13:21.968471,1,-1.0
3,19:13:14.357312,19:13:22.197856,-1,-1.0
3,19:13:14.357312,19:13:22.645308,-1,-1.0
3,19:13:14.357312,19:13:22.946337,-1,-1.0
3,19:13:14.357312,19:13:23.291255,1,-1.0
3,19:13:14.357312,19:13:23.488928,1,-1.0
3,19:13:14.357312,19:13:23.652355,1,-1.0
3,19:13:14.357312,19:13:23.816496,1,-1.0
3,19:13:14.357312,19:13:23.989416,1,-1.0
3,19:13:14.357312,19:13:24.166354,1,-1.0
3,19:13:14.357312,19:13:24.337316,1,-1.0
