Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:24:20.817306,10:24:21.615618,1,-1.0
1,10:24:20.817306,10:24:21.989906,1,-1.0
1,10:24:20.817306,10:24:22.447688,1,-1.0
1,10:24:20.817306,10:24:23.149259,1,-1.0
1,10:24:20.817306,10:24:23.394610,1,-1.0
1,10:24:20.817306,10:24:23.581827,1,-1.0
1,10:24:20.817306,10:24:23.745407,1,-1.0
1,10:24:20.817306,10:24:23.921491,1,-1.0
1,10:24:20.817306,10:24:24.097723,1,-1.0
1,10:24:20.817306,10:24:24.265743,1,-1.0
1,10:24:20.817306,10:24:24.439890,1,-1.0
1,10:24:20.817306,10:24:24.613119,1,-1.0
1,10:24:20.817306,10:24:24.808681,1,-1.0
1,10:24:20.817306,10:24:25.007684,1,-1.0
1,10:24:20.817306,10:24:25.238395,1,-1.0
1,10:24:20.817306,10:24:25.408116,1,-1.0
1,10:24:20.817306,10:24:25.597023,1,-1.0
1,10:24:20.817306,10:24:25.804100,1,-1.0
1,10:24:20.817306,10:24:25.994770,1,-1.0
1,10:24:20.817306,10:24:26.196659,1,-1.0
1,10:24:20.817306,10:24:26.398619,1,-1.0
1,10:24:20.817306,10:24:26.589386,1,-1.0
1,10:24:20.817306,10:24:26.780980,1,-1.0
1,10:24:20.817306,10:24:26.984140,1,-1.0
1,10:24:20.817306,10:24:27.188927,1,-1.0
1,10:24:20.817306,10:24:27.383390,1,-1.0
1,10:24:20.817306,10:24:27.591118,1,-1.0
1,10:24:20.817306,10:24:27.811887,1,-1.0
1,10:24:20.817306,10:24:28.008508,1,-1.0
1,10:24:20.817306,10:24:28.214729,1,-1.0
1,10:24:20.817306,10:24:28.395446,1,-1.0
1,10:24:20.817306,10:24:28.598574,1,-1.0
1,10:24:20.817306,10:24:28.800114,1,-1.0
1,10:24:20.817306,10:24:29.082195,-1,-1.0
1,10:24:20.817306,10:24:29.499019,1,-1.0
1,10:24:20.817306,10:24:29.816882,1,-1.0
1,10:24:20.817306,10:24:30.063808,-1,-1.0
1,10:24:20.817306,10:24:30.405540,-1,-1.0
1,10:24:20.817306,10:24:30.780996,-1,-1.0
1,10:24:20.817306,10:24:31.126895,-1,-1.0
1,10:24:20.817306,10:24:31.472442,-1,-1.0
1,10:24:20.817306,10:24:31.988038,-1,-1.0
1,10:24:20.817306,10:24:32.390877,-1,-1.0
1,10:24:20.817306,10:24:32.742607,-1,-1.0
1,10:24:20.817306,10:24:33.044442,-1,-1.0
1,10:24:20.817306,10:24:33.227100,-1,-1.0
1,10:24:20.817306,10:24:33.436277,-1,-1.0
1,10:24:20.817306,10:24:33.920314,1,-1.0
1,10:24:20.817306,10:24:34.221881,-1,-1.0
1,10:24:20.817306,10:24:34.545191,1,-1.0
