Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:58:15.376154,15:58:16.102604,1,-1.0
1,15:58:15.376154,15:58:16.359561,1,-1.0
1,15:58:15.376154,15:58:16.618085,1,-1.0
1,15:58:15.376154,15:58:16.864921,1,-1.0
1,15:58:15.376154,15:58:17.152650,1,-1.0
1,15:58:15.376154,15:58:17.576332,-1,-1.0
1,15:58:15.376154,15:58:17.876603,1,-1.0
1,15:58:15.376154,15:58:18.075183,1,-1.0
1,15:58:15.376154,15:58:18.262564,1,-1.0
1,15:58:15.376154,15:58:18.465570,1,-1.0
1,15:58:15.376154,15:58:18.691667,1,-1.0
1,15:58:15.376154,15:58:18.875653,1,-1.0
1,15:58:15.376154,15:58:19.070921,1,-1.0
1,15:58:15.376154,15:58:19.250856,1,-1.0
1,15:58:15.376154,15:58:19.423251,1,-1.0
1,15:58:15.376154,15:58:19.614109,1,-1.0
1,15:58:15.376154,15:58:19.787810,1,-1.0
1,15:58:15.376154,15:58:19.982473,1,-1.0
1,15:58:15.376154,15:58:20.181278,1,-1.0
1,15:58:15.376154,15:58:20.369829,1,-1.0
1,15:58:15.376154,15:58:20.556815,1,-1.0
1,15:58:15.376154,15:58:20.751630,1,-1.0
1,15:58:15.376154,15:58:20.937722,1,-1.0
1,15:58:15.376154,15:58:21.135976,1,-1.0
1,15:58:15.376154,15:58:21.322129,1,-1.0
1,15:58:15.376154,15:58:21.528781,1,-1.0
1,15:58:15.376154,15:58:21.723290,1,-1.0
1,15:58:15.376154,15:58:21.935237,1,-1.0
1,15:58:15.376154,15:58:22.130110,1,-1.0
1,15:58:15.376154,15:58:22.382999,1,-1.0
1,15:58:15.376154,15:58:22.601616,1,-1.0
1,15:58:15.376154,15:58:22.844830,1,-1.0
1,15:58:15.376154,15:58:23.104187,1,-1.0
1,15:58:15.376154,15:58:23.299705,1,-1.0
1,15:58:15.376154,15:58:23.516818,1,-1.0
1,15:58:15.376154,15:58:23.769213,1,-1.0
1,15:58:15.376154,15:58:24.126714,1,-1.0
1,15:58:15.376154,15:58:24.678927,1,-1.0
1,15:58:15.376154,15:58:24.931900,-1,-1.0
1,15:58:15.376154,15:58:25.128714,-1,-1.0
1,15:58:15.376154,15:58:25.285510,-1,-1.0
1,15:58:15.376154,15:58:25.412245,-1,-1.0
1,15:58:15.376154,15:58:25.589802,-1,-1.0
1,15:58:15.376154,15:58:25.726153,-1,-1.0
1,15:58:15.376154,15:58:25.868271,-1,-1.0
1,15:58:15.376154,15:58:26.005861,-1,-1.0
1,15:58:15.376154,15:58:26.176804,-1,-1.0
1,15:58:15.376154,15:58:26.326154,-1,-1.0
1,15:58:15.376154,15:58:26.507414,-1,-1.0
1,15:58:15.376154,15:58:26.697222,-1,-1.0
1,15:58:15.376154,15:58:26.889129,-1,-1.0
1,15:58:15.376154,15:58:27.065196,-1,-1.0
1,15:58:15.376154,15:58:27.366289,1,-1.0
1,15:58:15.376154,15:58:27.571053,1,-1.0
1,15:58:15.376154,15:58:27.805297,1,-1.0
1,15:58:15.376154,15:58:28.003453,1,-1.0
1,15:58:15.376154,15:58:28.161420,1,-1.0
1,15:58:15.376154,15:58:28.340688,1,-1.0
1,15:58:15.376154,15:58:28.535315,1,-1.0
1,15:58:15.376154,15:58:28.715917,1,-1.0
1,15:58:15.376154,15:58:28.893870,1,-1.0
1,15:58:15.376154,15:58:29.091507,1,-1.0
1,15:58:15.376154,15:58:29.412146,1,-1.0
1,15:58:15.376154,15:58:29.591072,1,-1.0
1,15:58:15.376154,15:58:29.767673,1,-1.0
1,15:58:15.376154,15:58:29.959366,1,-1.0
1,15:58:15.376154,15:58:30.146013,1,-1.0
1,15:58:15.376154,15:58:30.364411,1,-1.0
1,15:58:15.376154,15:58:30.609718,1,-1.0
1,15:58:15.376154,15:58:30.833642,1,-1.0
1,15:58:15.376154,15:58:31.034476,1,-1.0
1,15:58:15.376154,15:58:31.263390,1,-1.0
1,15:58:15.376154,15:58:31.496766,1,-1.0
1,15:58:15.376154,15:58:31.682552,1,-1.0
1,15:58:15.376154,15:58:31.899961,1,-1.0
1,15:58:15.376154,15:58:32.116462,1,-1.0
1,15:58:15.376154,15:58:32.330552,1,-1.0
1,15:58:15.376154,15:58:32.532996,1,-1.0
1,15:58:15.376154,15:58:32.745462,1,-1.0
1,15:58:15.376154,15:58:32.942326,1,-1.0
1,15:58:15.376154,15:58:33.147702,1,-1.0
1,15:58:15.376154,15:58:33.371610,1,-1.0
1,15:58:15.376154,15:58:33.591941,1,-1.0
1,15:58:15.376154,15:58:33.780635,1,-1.0
1,15:58:15.376154,15:58:33.997356,1,-1.0
1,15:58:15.376154,15:58:34.201640,1,-1.0
1,15:58:15.376154,15:58:34.409526,1,-1.0
1,15:58:15.376154,15:58:34.624892,1,-1.0
1,15:58:15.376154,15:58:34.822503,1,-1.0
1,15:58:15.376154,15:58:35.015881,1,-1.0
1,15:58:15.376154,15:58:35.268997,1,-1.0
1,15:58:15.376154,15:58:35.470118,1,-1.0
1,15:58:15.376154,15:58:35.711686,1,-1.0
1,15:58:15.376154,15:58:35.939567,1,-1.0
1,15:58:15.376154,15:58:36.141680,1,-1.0
1,15:58:15.376154,15:58:36.348148,1,-1.0
1,15:58:15.376154,15:58:36.545370,1,-1.0
1,15:58:15.376154,15:58:36.765956,1,-1.0
1,15:58:15.376154,15:58:36.980522,1,-1.0
1,15:58:15.376154,15:58:37.282356,1,-1.0
1,15:58:15.376154,15:58:37.524792,1,-1.0
1,15:58:15.376154,15:58:37.770304,1,-1.0
1,15:58:15.376154,15:58:37.974356,1,-1.0
1,15:58:15.376154,15:58:38.205209,1,-1.0
1,15:58:15.376154,15:58:38.433798,1,-1.0
1,15:58:15.376154,15:58:38.667042,1,-1.0
1,15:58:15.376154,15:58:38.862845,1,-1.0
1,15:58:15.376154,15:58:39.093913,1,-1.0
1,15:58:15.376154,15:58:39.299949,1,-1.0
1,15:58:15.376154,15:58:39.534415,1,-1.0
1,15:58:15.376154,15:58:39.760857,1,-1.0
1,15:58:15.376154,15:58:39.968794,1,-1.0
1,15:58:15.376154,15:58:40.182661,1,-1.0
1,15:58:15.376154,15:58:40.377831,1,-1.0
1,15:58:15.376154,15:58:40.623790,1,-1.0
1,15:58:15.376154,15:58:40.832572,1,-1.0
1,15:58:15.376154,15:58:41.029294,1,-1.0
1,15:58:15.376154,15:58:41.211464,1,-1.0
1,15:58:15.376154,15:58:41.431857,1,-1.0
1,15:58:15.376154,15:58:41.733666,1,-1.0
1,15:58:15.376154,15:58:41.907541,1,-1.0
1,15:58:15.376154,15:58:42.111216,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,15:58:42.116376,15:58:42.331443,1,-1.0
2,15:58:42.116376,15:58:43.311911,1,-1.0
2,15:58:42.116376,15:58:43.527083,1,-1.0
2,15:58:42.116376,15:58:43.676510,1,-1.0
2,15:58:42.116376,15:58:44.193181,1,-1.0
2,15:58:42.116376,15:58:44.353794,1,-1.0
2,15:58:42.116376,15:58:44.521937,1,-1.0
2,15:58:42.116376,15:58:44.676550,1,-1.0
2,15:58:42.116376,15:58:44.812366,1,-1.0
2,15:58:42.116376,15:58:44.957668,1,-1.0
2,15:58:42.116376,15:58:45.108282,1,-1.0
2,15:58:42.116376,15:58:45.257851,1,-1.0
2,15:58:42.116376,15:58:45.414580,1,-1.0
2,15:58:42.116376,15:58:45.543117,1,-1.0
2,15:58:42.116376,15:58:45.689799,1,-1.0
2,15:58:42.116376,15:58:45.843175,1,-1.0
2,15:58:42.116376,15:58:45.985991,1,-1.0
2,15:58:42.116376,15:58:46.187598,1,-1.0
2,15:58:42.116376,15:58:46.338358,1,-1.0
2,15:58:42.116376,15:58:46.510833,1,-1.0
2,15:58:42.116376,15:58:46.575007,1,-1.0
2,15:58:42.116376,15:58:46.650219,1,-1.0
2,15:58:42.116376,15:58:46.708916,1,-1.0
2,15:58:42.116376,15:58:46.865425,1,-1.0
2,15:58:42.116376,15:58:46.928724,1,-1.0
