Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:09:18.416463,16:09:20.089825,1,-1.0
1,16:09:18.416463,16:09:20.287558,1,-1.0
1,16:09:18.416463,16:09:20.545030,1,-1.0
1,16:09:18.416463,16:09:20.790917,1,-1.0
1,16:09:18.416463,16:09:20.986585,1,-1.0
1,16:09:18.416463,16:09:21.144011,1,-1.0
1,16:09:18.416463,16:09:21.335053,1,-1.0
1,16:09:18.416463,16:09:21.545017,1,-1.0
1,16:09:18.416463,16:09:21.749563,1,-1.0
1,16:09:18.416463,16:09:21.948194,1,-1.0
1,16:09:18.416463,16:09:22.169797,1,-1.0
1,16:09:18.416463,16:09:22.398957,1,-1.0
1,16:09:18.416463,16:09:22.702256,1,-1.0
1,16:09:18.416463,16:09:23.097828,1,-1.0
1,16:09:18.416463,16:09:23.456769,1,-1.0
1,16:09:18.416463,16:09:23.792011,1,-1.0
1,16:09:18.416463,16:09:24.129153,1,-1.0
1,16:09:18.416463,16:09:24.408827,1,-1.0
1,16:09:18.416463,16:09:24.706573,1,-1.0
1,16:09:18.416463,16:09:25.032713,1,-1.0
1,16:09:18.416463,16:09:25.284687,1,-1.0
1,16:09:18.416463,16:09:25.544111,1,-1.0
1,16:09:18.416463,16:09:25.858025,1,-1.0
1,16:09:18.416463,16:09:26.166033,1,-1.0
1,16:09:18.416463,16:09:26.438269,1,-1.0
1,16:09:18.416463,16:09:26.850801,1,-1.0
1,16:09:18.416463,16:09:27.746636,-1,-1.0
1,16:09:18.416463,16:09:28.186251,1,-1.0
1,16:09:18.416463,16:09:28.634056,-1,-1.0
1,16:09:18.416463,16:09:29.149599,-1,-1.0
1,16:09:18.416463,16:09:29.638027,-1,-1.0
1,16:09:18.416463,16:09:30.278173,-1,-1.0
1,16:09:18.416463,16:09:30.824591,-1,-1.0
1,16:09:18.416463,16:09:31.589076,-1,-1.0
1,16:09:18.416463,16:09:32.087194,-1,-1.0
1,16:09:18.416463,16:09:32.539378,-1,-1.0
1,16:09:18.416463,16:09:33.027844,-1,-1.0
1,16:09:18.416463,16:09:33.920537,-1,-1.0
1,16:09:18.416463,16:09:34.378535,1,-1.0
1,16:09:18.416463,16:09:34.563946,1,-1.0
1,16:09:18.416463,16:09:34.730673,1,-1.0
1,16:09:18.416463,16:09:34.897672,1,-1.0
1,16:09:18.416463,16:09:35.172204,1,-1.0
1,16:09:18.416463,16:09:35.389914,1,-1.0
1,16:09:18.416463,16:09:35.595157,1,-1.0
1,16:09:18.416463,16:09:35.768067,1,-1.0
1,16:09:18.416463,16:09:35.989808,1,-1.0
1,16:09:18.416463,16:09:36.186443,1,-1.0
1,16:09:18.416463,16:09:36.395299,1,-1.0
1,16:09:18.416463,16:09:36.621749,1,-1.0
1,16:09:18.416463,16:09:36.847255,1,-1.0
1,16:09:18.416463,16:09:37.083864,1,-1.0
1,16:09:18.416463,16:09:37.311364,1,-1.0
1,16:09:18.416463,16:09:37.532083,1,-1.0
1,16:09:18.416463,16:09:37.758148,1,-1.0
1,16:09:18.416463,16:09:38.001716,1,-1.0
1,16:09:18.416463,16:09:38.236936,1,-1.0
1,16:09:18.416463,16:09:38.472152,1,-1.0
1,16:09:18.416463,16:09:38.825307,1,-1.0
1,16:09:18.416463,16:09:39.208928,1,-1.0
1,16:09:18.416463,16:09:39.665526,1,-1.0
1,16:09:18.416463,16:09:40.088979,1,-1.0
1,16:09:18.416463,16:09:40.428417,1,-1.0
1,16:09:18.416463,16:09:40.804512,1,-1.0
1,16:09:18.416463,16:09:41.298871,1,-1.0
1,16:09:18.416463,16:09:41.567948,-1,-1.0
1,16:09:18.416463,16:09:42.167056,-1,-1.0
1,16:09:18.416463,16:09:42.592987,-1,-1.0
1,16:09:18.416463,16:09:43.215106,-1,-1.0
1,16:09:18.416463,16:09:43.703292,-1,-1.0
1,16:09:18.416463,16:09:43.948232,1,-1.0
1,16:09:18.416463,16:09:44.155223,1,-1.0
1,16:09:18.416463,16:09:44.561103,-1,-1.0
1,16:09:18.416463,16:09:44.973102,1,-1.0
1,16:09:18.416463,16:09:45.317935,-1,-1.0
1,16:09:18.416463,16:09:45.761139,1,-1.0
1,16:09:18.416463,16:09:45.942705,1,-1.0
1,16:09:18.416463,16:09:46.140763,1,-1.0
1,16:09:18.416463,16:09:46.329219,1,-1.0
1,16:09:18.416463,16:09:46.548017,1,-1.0
1,16:09:18.416463,16:09:46.793793,1,-1.0
1,16:09:18.416463,16:09:46.999945,1,-1.0
1,16:09:18.416463,16:09:47.211684,1,-1.0
1,16:09:18.416463,16:09:47.444356,1,-1.0
1,16:09:18.416463,16:09:47.659830,1,-1.0
1,16:09:18.416463,16:09:47.902089,1,-1.0
1,16:09:18.416463,16:09:48.129337,1,-1.0
1,16:09:18.416463,16:09:48.342039,1,-1.0
1,16:09:18.416463,16:09:48.563385,1,-1.0
1,16:09:18.416463,16:09:48.787544,1,-1.0
1,16:09:18.416463,16:09:49.016162,1,-1.0
1,16:09:18.416463,16:09:49.278768,1,-1.0
1,16:09:18.416463,16:09:49.525460,1,-1.0
1,16:09:18.416463,16:09:49.747990,1,-1.0
1,16:09:18.416463,16:09:50.026500,1,-1.0
1,16:09:18.416463,16:09:50.290564,1,-1.0
1,16:09:18.416463,16:09:50.556055,1,-1.0
1,16:09:18.416463,16:09:50.946397,1,-1.0
1,16:09:18.416463,16:09:52.162869,-1,-1.0
1,16:09:18.416463,16:09:52.454739,-1,-1.0
1,16:09:18.416463,16:09:52.747793,-1,-1.0
1,16:09:18.416463,16:09:53.160357,-1,-1.0
1,16:09:18.416463,16:09:54.056527,1,-1.0
1,16:09:18.416463,16:09:54.288135,1,-1.0
1,16:09:18.416463,16:09:54.509008,1,-1.0
1,16:09:18.416463,16:09:54.718523,1,-1.0
1,16:09:18.416463,16:09:54.928125,1,-1.0
1,16:09:18.416463,16:09:55.141658,1,-1.0
1,16:09:18.416463,16:09:55.357677,1,-1.0
1,16:09:18.416463,16:09:55.559256,1,-1.0
1,16:09:18.416463,16:09:55.768475,1,-1.0
1,16:09:18.416463,16:09:55.947159,1,-1.0
1,16:09:18.416463,16:09:56.144139,1,-1.0
