Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:38:18.499706,18:38:19.372559,1,-1.0
1,18:38:18.499706,18:38:19.604655,1,-1.0
1,18:38:18.499706,18:38:19.849676,1,-1.0
1,18:38:18.499706,18:38:20.047959,1,-1.0
1,18:38:18.499706,18:38:20.261890,1,-1.0
1,18:38:18.499706,18:38:20.465052,1,-1.0
1,18:38:18.499706,18:38:20.679496,1,-1.0
1,18:38:18.499706,18:38:20.889587,1,-1.0
1,18:38:18.499706,18:38:21.096136,1,-1.0
1,18:38:18.499706,18:38:21.301512,1,-1.0
1,18:38:18.499706,18:38:21.560102,1,-1.0
1,18:38:18.499706,18:38:21.782240,1,-1.0
1,18:38:18.499706,18:38:22.011679,1,-1.0
1,18:38:18.499706,18:38:22.244415,1,-1.0
1,18:38:18.499706,18:38:22.491376,1,-1.0
1,18:38:18.499706,18:38:22.712533,1,-1.0
1,18:38:18.499706,18:38:22.932688,1,-1.0
1,18:38:18.499706,18:38:23.166403,1,-1.0
1,18:38:18.499706,18:38:23.412619,1,-1.0
1,18:38:18.499706,18:38:23.655122,1,-1.0
1,18:38:18.499706,18:38:23.873758,1,-1.0
1,18:38:18.499706,18:38:24.110522,1,-1.0
1,18:38:18.499706,18:38:24.356613,1,-1.0
1,18:38:18.499706,18:38:24.633845,1,-1.0
1,18:38:18.499706,18:38:24.856422,1,-1.0
1,18:38:18.499706,18:38:25.118201,1,-1.0
1,18:38:18.499706,18:38:25.396714,1,-1.0
1,18:38:18.499706,18:38:25.628840,1,-1.0
1,18:38:18.499706,18:38:25.866710,1,-1.0
1,18:38:18.499706,18:38:26.065581,1,-1.0
1,18:38:18.499706,18:38:26.264950,1,-1.0
1,18:38:18.499706,18:38:26.522509,1,-1.0
1,18:38:18.499706,18:38:26.729162,1,-1.0
1,18:38:18.499706,18:38:26.923339,1,-1.0
1,18:38:18.499706,18:38:27.143524,1,-1.0
1,18:38:18.499706,18:38:27.345034,1,-1.0
1,18:38:18.499706,18:38:27.568149,1,-1.0
1,18:38:18.499706,18:38:27.862616,-1,-1.0
1,18:38:18.499706,18:38:28.179277,-1,-1.0
1,18:38:18.499706,18:38:28.590695,-1,-1.0
1,18:38:18.499706,18:38:29.056175,-1,-1.0
1,18:38:18.499706,18:38:29.422967,-1,-1.0
1,18:38:18.499706,18:38:29.784765,1,-1.0
1,18:38:18.499706,18:38:30.151339,-1,-1.0
1,18:38:18.499706,18:38:30.576082,-1,-1.0
1,18:38:18.499706,18:38:30.940186,-1,-1.0
1,18:38:18.499706,18:38:31.238563,-1,-1.0
1,18:38:18.499706,18:38:31.544046,-1,-1.0
1,18:38:18.499706,18:38:31.884193,-1,-1.0
1,18:38:18.499706,18:38:32.256711,1,-1.0
1,18:38:18.499706,18:38:32.769976,-1,-1.0
1,18:38:18.499706,18:38:33.442672,-1,-1.0
1,18:38:18.499706,18:38:33.848338,-1,-1.0
1,18:38:18.499706,18:38:34.298156,1,-1.0
1,18:38:18.499706,18:38:34.488772,1,-1.0
1,18:38:18.499706,18:38:34.661376,1,-1.0
1,18:38:18.499706,18:38:34.860181,1,-1.0
1,18:38:18.499706,18:38:35.046646,1,-1.0
1,18:38:18.499706,18:38:35.247094,1,-1.0
1,18:38:18.499706,18:38:35.463521,1,-1.0
1,18:38:18.499706,18:38:35.672338,1,-1.0
1,18:38:18.499706,18:38:35.908420,1,-1.0
1,18:38:18.499706,18:38:36.124639,1,-1.0
1,18:38:18.499706,18:38:36.363921,1,-1.0
1,18:38:18.499706,18:38:36.583022,1,-1.0
1,18:38:18.499706,18:38:36.840829,1,-1.0
1,18:38:18.499706,18:38:37.069343,1,-1.0
1,18:38:18.499706,18:38:37.314319,1,-1.0
1,18:38:18.499706,18:38:37.547790,1,-1.0
1,18:38:18.499706,18:38:37.796169,1,-1.0
1,18:38:18.499706,18:38:38.045060,1,-1.0
1,18:38:18.499706,18:38:38.300101,1,-1.0
1,18:38:18.499706,18:38:38.542045,1,-1.0
1,18:38:18.499706,18:38:38.816395,1,-1.0
1,18:38:18.499706,18:38:39.056549,1,-1.0
1,18:38:18.499706,18:38:39.290722,1,-1.0
1,18:38:18.499706,18:38:39.532735,1,-1.0
1,18:38:18.499706,18:38:39.807490,1,-1.0
