Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,17:09:20.605137,17:09:21.280297,1,-1.0
1,17:09:20.605137,17:09:22.140776,1,-1.0
1,17:09:20.605137,17:09:22.619047,1,-1.0
1,17:09:20.605137,17:09:22.803908,1,-1.0
1,17:09:20.605137,17:09:22.965959,1,-1.0
1,17:09:20.605137,17:09:23.136606,1,-1.0
1,17:09:20.605137,17:09:23.294000,1,-1.0
1,17:09:20.605137,17:09:23.452037,1,-1.0
1,17:09:20.605137,17:09:23.711396,1,-1.0
1,17:09:20.605137,17:09:23.887450,1,-1.0
1,17:09:20.605137,17:09:24.081315,1,-1.0
1,17:09:20.605137,17:09:24.265738,1,-1.0
1,17:09:20.605137,17:09:24.536288,1,-1.0
1,17:09:20.605137,17:09:24.701138,1,-1.0
1,17:09:20.605137,17:09:24.884665,1,-1.0
1,17:09:20.605137,17:09:25.077805,1,-1.0
1,17:09:20.605137,17:09:25.285609,1,-1.0
1,17:09:20.605137,17:09:25.488218,1,-1.0
1,17:09:20.605137,17:09:25.676656,1,-1.0
1,17:09:20.605137,17:09:26.003204,1,-1.0
1,17:09:20.605137,17:09:26.319200,1,-1.0
1,17:09:20.605137,17:09:26.561635,1,-1.0
1,17:09:20.605137,17:09:26.763358,1,-1.0
1,17:09:20.605137,17:09:26.947445,1,-1.0
1,17:09:20.605137,17:09:27.181070,1,-1.0
1,17:09:20.605137,17:09:27.418116,1,-1.0
1,17:09:20.605137,17:09:27.608779,1,-1.0
1,17:09:20.605137,17:09:27.797897,1,-1.0
1,17:09:20.605137,17:09:28.012502,1,-1.0
1,17:09:20.605137,17:09:28.221246,1,-1.0
1,17:09:20.605137,17:09:28.518971,1,-1.0
1,17:09:20.605137,17:09:29.046457,1,-1.0
1,17:09:20.605137,17:09:29.260231,1,-1.0
1,17:09:20.605137,17:09:29.929001,1,-1.0
1,17:09:20.605137,17:09:30.298890,-1,-1.0
1,17:09:20.605137,17:09:30.513441,-1,-1.0
1,17:09:20.605137,17:09:30.858774,-1,-1.0
1,17:09:20.605137,17:09:31.105635,-1,-1.0
1,17:09:20.605137,17:09:31.322164,-1,-1.0
1,17:09:20.605137,17:09:31.672325,-1,-1.0
1,17:09:20.605137,17:09:32.059952,-1,-1.0
1,17:09:20.605137,17:09:32.423681,-1,-1.0
1,17:09:20.605137,17:09:32.740055,-1,-1.0
1,17:09:20.605137,17:09:33.081558,-1,-1.0
1,17:09:20.605137,17:09:33.565929,1,-1.0
1,17:09:20.605137,17:09:34.044051,-1,-1.0
1,17:09:20.605137,17:09:34.636249,1,-1.0
1,17:09:20.605137,17:09:34.816364,1,-1.0
1,17:09:20.605137,17:09:34.985685,1,-1.0
1,17:09:20.605137,17:09:35.144203,1,-1.0
1,17:09:20.605137,17:09:35.309836,1,-1.0
1,17:09:20.605137,17:09:35.471371,1,-1.0
1,17:09:20.605137,17:09:35.668683,1,-1.0
1,17:09:20.605137,17:09:35.890456,1,-1.0
1,17:09:20.605137,17:09:36.074308,1,-1.0
1,17:09:20.605137,17:09:36.223083,1,-1.0
1,17:09:20.605137,17:09:36.392101,1,-1.0
1,17:09:20.605137,17:09:36.554186,1,-1.0
1,17:09:20.605137,17:09:36.734374,1,-1.0
1,17:09:20.605137,17:09:36.910071,1,-1.0
1,17:09:20.605137,17:09:37.143775,1,-1.0
1,17:09:20.605137,17:09:37.332174,1,-1.0
1,17:09:20.605137,17:09:37.497353,1,-1.0
1,17:09:20.605137,17:09:37.669482,1,-1.0
1,17:09:20.605137,17:09:37.825802,1,-1.0
1,17:09:20.605137,17:09:38.099824,1,-1.0
1,17:09:20.605137,17:09:38.266477,1,-1.0
1,17:09:20.605137,17:09:38.441711,1,-1.0
1,17:09:20.605137,17:09:38.626925,1,-1.0
1,17:09:20.605137,17:09:38.836192,1,-1.0
1,17:09:20.605137,17:09:39.036739,1,-1.0
1,17:09:20.605137,17:09:39.220338,1,-1.0
1,17:09:20.605137,17:09:39.616949,1,-1.0
1,17:09:20.605137,17:09:39.785748,1,-1.0
1,17:09:20.605137,17:09:39.945040,1,-1.0
1,17:09:20.605137,17:09:40.139537,1,-1.0
1,17:09:20.605137,17:09:40.366743,1,-1.0
1,17:09:20.605137,17:09:40.704060,-1,-1.0
1,17:09:20.605137,17:09:41.120656,-1,-1.0
1,17:09:20.605137,17:09:41.444196,-1,-1.0
1,17:09:20.605137,17:09:41.771226,-1,-1.0
1,17:09:20.605137,17:09:42.051569,-1,-1.0
1,17:09:20.605137,17:09:42.333723,-1,-1.0
1,17:09:20.605137,17:09:42.527914,1,-1.0
1,17:09:20.605137,17:09:42.757666,1,-1.0
1,17:09:20.605137,17:09:43.001751,-1,-1.0
1,17:09:20.605137,17:09:43.413359,1,-1.0
1,17:09:20.605137,17:09:43.611745,1,-1.0
1,17:09:20.605137,17:09:43.759903,1,-1.0
1,17:09:20.605137,17:09:43.934812,1,-1.0
1,17:09:20.605137,17:09:44.092263,1,-1.0
1,17:09:20.605137,17:09:44.263268,1,-1.0
1,17:09:20.605137,17:09:44.435395,1,-1.0
1,17:09:20.605137,17:09:44.613574,1,-1.0
1,17:09:20.605137,17:09:44.798728,1,-1.0
1,17:09:20.605137,17:09:45.021859,1,-1.0
1,17:09:20.605137,17:09:45.199830,1,-1.0
1,17:09:20.605137,17:09:45.388633,1,-1.0
1,17:09:20.605137,17:09:45.608649,1,-1.0
