Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:55:39.679304,15:55:53.267301,1,-1.0
1,15:55:39.679304,15:55:53.523931,1,-1.0
1,15:55:39.679304,15:55:53.744671,1,-1.0
1,15:55:39.679304,15:55:54.053617,1,-1.0
1,15:55:39.679304,15:55:54.726693,-1,-1.0
1,15:55:39.679304,15:55:55.165793,-1,-1.0
1,15:55:39.679304,15:55:55.365321,-1,-1.0
1,15:55:39.679304,15:55:56.961859,-1,-1.0
1,15:55:39.679304,15:55:57.461031,-1,-1.0
1,15:55:39.679304,15:55:57.812817,1,-1.0
1,15:55:39.679304,15:55:58.009190,1,-1.0
1,15:55:39.679304,15:55:58.170664,1,-1.0
1,15:55:39.679304,15:55:58.331314,1,-1.0
1,15:55:39.679304,15:55:58.492664,1,-1.0
1,15:55:39.679304,15:55:58.649414,1,-1.0
1,15:55:39.679304,15:55:58.808116,1,-1.0
1,15:55:39.679304,15:55:58.978105,1,-1.0
1,15:55:39.679304,15:55:59.141173,1,-1.0
1,15:55:39.679304,15:55:59.320883,1,-1.0
1,15:55:39.679304,15:55:59.503454,1,-1.0
1,15:55:39.679304,15:55:59.671061,1,-1.0
1,15:55:39.679304,15:55:59.845829,1,-1.0
1,15:55:39.679304,15:56:00.019675,1,-1.0
1,15:55:39.679304,15:56:00.180149,1,-1.0
1,15:55:39.679304,15:56:00.357748,1,-1.0
1,15:55:39.679304,15:56:00.535274,1,-1.0
1,15:55:39.679304,15:56:00.716223,1,-1.0
1,15:55:39.679304,15:56:00.886459,1,-1.0
1,15:55:39.679304,15:56:01.064816,1,-1.0
1,15:55:39.679304,15:56:01.236594,1,-1.0
1,15:55:39.679304,15:56:01.422249,1,-1.0
1,15:55:39.679304,15:56:01.596411,1,-1.0
1,15:55:39.679304,15:56:01.764144,1,-1.0
1,15:55:39.679304,15:56:01.942437,1,-1.0
1,15:55:39.679304,15:56:02.122676,1,-1.0
1,15:55:39.679304,15:56:02.305815,1,-1.0
1,15:55:39.679304,15:56:02.477081,1,-1.0
1,15:55:39.679304,15:56:02.663681,1,-1.0
1,15:55:39.679304,15:56:02.861214,1,-1.0
1,15:55:39.679304,15:56:03.030131,1,-1.0
1,15:55:39.679304,15:56:03.206585,1,-1.0
1,15:55:39.679304,15:56:03.513158,1,-1.0
1,15:55:39.679304,15:56:03.910234,-1,-1.0
1,15:55:39.679304,15:56:04.202533,-1,-1.0
1,15:55:39.679304,15:56:04.532010,-1,-1.0
1,15:55:39.679304,15:56:05.001927,-1,-1.0
1,15:55:39.679304,15:56:05.334120,-1,-1.0
1,15:55:39.679304,15:56:05.599259,-1,-1.0
1,15:55:39.679304,15:56:05.823198,-1,-1.0
1,15:55:39.679304,15:56:06.172927,-1,-1.0
1,15:55:39.679304,15:56:06.390967,-1,-1.0
1,15:55:39.679304,15:56:06.587630,1,-1.0
1,15:55:39.679304,15:56:06.769557,1,-1.0
1,15:55:39.679304,15:56:06.944569,1,-1.0
1,15:55:39.679304,15:56:07.107901,1,-1.0
1,15:55:39.679304,15:56:07.302608,1,-1.0
1,15:55:39.679304,15:56:07.476506,1,-1.0
1,15:55:39.679304,15:56:07.665341,1,-1.0
1,15:55:39.679304,15:56:07.843936,1,-1.0
1,15:55:39.679304,15:56:08.025855,1,-1.0
1,15:55:39.679304,15:56:08.205227,1,-1.0
1,15:55:39.679304,15:56:08.400737,1,-1.0
1,15:55:39.679304,15:56:08.585862,1,-1.0
1,15:55:39.679304,15:56:08.765579,1,-1.0
1,15:55:39.679304,15:56:08.952831,1,-1.0
1,15:55:39.679304,15:56:09.128682,1,-1.0
1,15:55:39.679304,15:56:09.315160,1,-1.0
1,15:55:39.679304,15:56:09.495346,1,-1.0
1,15:55:39.679304,15:56:09.638045,-1,-1.0
