Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,21:08:32.094520,21:08:36.588307,-1,-1.0
1,21:08:32.094520,21:08:36.821247,-1,-1.0
1,21:08:32.094520,21:08:38.067545,1,-1.0
1,21:08:32.094520,21:08:38.237386,1,-1.0
1,21:08:32.094520,21:08:38.427599,1,-1.0
1,21:08:32.094520,21:08:38.594002,1,-1.0
1,21:08:32.094520,21:08:38.753270,1,-1.0
1,21:08:32.094520,21:08:38.915561,1,-1.0
1,21:08:32.094520,21:08:39.069496,1,-1.0
1,21:08:32.094520,21:08:39.251200,1,-1.0
1,21:08:32.094520,21:08:39.445271,1,-1.0
1,21:08:32.094520,21:08:39.623090,1,-1.0
1,21:08:32.094520,21:08:39.814731,1,-1.0
1,21:08:32.094520,21:08:39.980418,1,-1.0
1,21:08:32.094520,21:08:40.214738,1,-1.0
1,21:08:32.094520,21:08:40.859587,1,-1.0
1,21:08:32.094520,21:08:41.058965,1,-1.0
1,21:08:32.094520,21:08:41.262804,1,-1.0
1,21:08:32.094520,21:08:41.484243,1,-1.0
1,21:08:32.094520,21:08:41.696855,1,-1.0
1,21:08:32.094520,21:08:41.945514,1,-1.0
1,21:08:32.094520,21:08:42.200761,1,-1.0
1,21:08:32.094520,21:08:42.422184,1,-1.0
1,21:08:32.094520,21:08:42.605333,1,-1.0
1,21:08:32.094520,21:08:42.839374,1,-1.0
1,21:08:32.094520,21:08:43.044638,1,-1.0
1,21:08:32.094520,21:08:43.273550,1,-1.0
1,21:08:32.094520,21:08:43.486219,1,-1.0
1,21:08:32.094520,21:08:43.715647,1,-1.0
1,21:08:32.094520,21:08:44.004142,1,-1.0
1,21:08:32.094520,21:08:44.249059,-1,-1.0
1,21:08:32.094520,21:08:44.709281,-1,-1.0
1,21:08:32.094520,21:08:45.129370,-1,-1.0
1,21:08:32.094520,21:08:45.549799,-1,-1.0
1,21:08:32.094520,21:08:45.939846,-1,-1.0
1,21:08:32.094520,21:08:46.418420,-1,-1.0
1,21:08:32.094520,21:08:46.855671,-1,-1.0
1,21:08:32.094520,21:08:47.358242,-1,-1.0
1,21:08:32.094520,21:08:47.853251,-1,-1.0
1,21:08:32.094520,21:08:48.380948,1,-1.0
1,21:08:32.094520,21:08:48.607245,1,-1.0
1,21:08:32.094520,21:08:48.872890,1,-1.0
1,21:08:32.094520,21:08:49.047490,1,-1.0
1,21:08:32.094520,21:08:49.302373,1,-1.0
1,21:08:32.094520,21:08:49.520619,1,-1.0
1,21:08:32.094520,21:08:49.760972,1,-1.0
1,21:08:32.094520,21:08:49.966175,1,-1.0
1,21:08:32.094520,21:08:50.233116,1,-1.0
1,21:08:32.094520,21:08:50.461729,1,-1.0
1,21:08:32.094520,21:08:50.703488,1,-1.0
1,21:08:32.094520,21:08:50.958053,1,-1.0
1,21:08:32.094520,21:08:51.210415,1,-1.0
1,21:08:32.094520,21:08:51.485416,1,-1.0
1,21:08:32.094520,21:08:51.812803,1,-1.0
1,21:08:32.094520,21:08:52.161812,1,-1.0
1,21:08:32.094520,21:08:52.835732,-1,-1.0
1,21:08:32.094520,21:08:53.487673,-1,-1.0
1,21:08:32.094520,21:08:54.214260,1,-1.0
1,21:08:32.094520,21:08:54.551508,1,-1.0
1,21:08:32.094520,21:08:54.840981,1,-1.0
1,21:08:32.094520,21:08:55.073952,1,-1.0
1,21:08:32.094520,21:08:55.296238,1,-1.0
1,21:08:32.094520,21:08:55.561101,1,-1.0
1,21:08:32.094520,21:08:55.790748,1,-1.0
