Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:57:39.807047,16:57:40.959607,1,-1.0
1,16:57:39.807047,16:57:41.559884,1,-1.0
1,16:57:39.807047,16:57:41.778182,1,-1.0
1,16:57:39.807047,16:57:41.977491,1,-1.0
1,16:57:39.807047,16:57:42.161979,1,-1.0
1,16:57:39.807047,16:57:42.352654,1,-1.0
1,16:57:39.807047,16:57:42.505983,1,-1.0
1,16:57:39.807047,16:57:42.652174,1,-1.0
1,16:57:39.807047,16:57:42.820483,1,-1.0
1,16:57:39.807047,16:57:42.955629,1,-1.0
1,16:57:39.807047,16:57:43.117178,1,-1.0
1,16:57:39.807047,16:57:43.253120,1,-1.0
1,16:57:39.807047,16:57:43.396592,1,-1.0
1,16:57:39.807047,16:57:43.562815,1,-1.0
1,16:57:39.807047,16:57:43.819539,1,-1.0
1,16:57:39.807047,16:57:43.987454,1,-1.0
1,16:57:39.807047,16:57:44.248548,1,-1.0
1,16:57:39.807047,16:57:44.429088,1,-1.0
1,16:57:39.807047,16:57:44.615677,1,-1.0
1,16:57:39.807047,16:57:44.777313,1,-1.0
1,16:57:39.807047,16:57:44.945974,1,-1.0
1,16:57:39.807047,16:57:45.136042,1,-1.0
1,16:57:39.807047,16:57:45.296539,1,-1.0
1,16:57:39.807047,16:57:45.427912,1,-1.0
1,16:57:39.807047,16:57:45.601403,1,-1.0
1,16:57:39.807047,16:57:45.767791,1,-1.0
1,16:57:39.807047,16:57:45.926598,1,-1.0
1,16:57:39.807047,16:57:46.261079,1,-1.0
1,16:57:39.807047,16:57:46.419964,1,-1.0
1,16:57:39.807047,16:57:46.564444,1,-1.0
1,16:57:39.807047,16:57:46.738258,1,-1.0
1,16:57:39.807047,16:57:46.917444,1,-1.0
1,16:57:39.807047,16:57:47.165964,1,-1.0
1,16:57:39.807047,16:57:47.430615,1,-1.0
1,16:57:39.807047,16:57:47.663336,1,-1.0
1,16:57:39.807047,16:57:48.259287,-1,-1.0
1,16:57:39.807047,16:57:48.498234,-1,-1.0
1,16:57:39.807047,16:57:48.641819,-1,-1.0
1,16:57:39.807047,16:57:48.805850,-1,-1.0
1,16:57:39.807047,16:57:48.988741,-1,-1.0
1,16:57:39.807047,16:57:49.185117,-1,-1.0
1,16:57:39.807047,16:57:49.372490,-1,-1.0
1,16:57:39.807047,16:57:49.580226,-1,-1.0
1,16:57:39.807047,16:57:49.771046,-1,-1.0
1,16:57:39.807047,16:57:50.004664,-1,-1.0
1,16:57:39.807047,16:57:50.277947,-1,-1.0
1,16:57:39.807047,16:57:50.538638,1,-1.0
1,16:57:39.807047,16:57:50.686580,1,-1.0
1,16:57:39.807047,16:57:50.836060,1,-1.0
1,16:57:39.807047,16:57:51.126354,1,-1.0
1,16:57:39.807047,16:57:51.283412,1,-1.0
1,16:57:39.807047,16:57:51.478898,1,-1.0
1,16:57:39.807047,16:57:51.649579,1,-1.0
1,16:57:39.807047,16:57:51.809723,1,-1.0
1,16:57:39.807047,16:57:51.991987,1,-1.0
1,16:57:39.807047,16:57:52.163461,1,-1.0
1,16:57:39.807047,16:57:52.337125,1,-1.0
1,16:57:39.807047,16:57:52.628406,1,-1.0
1,16:57:39.807047,16:57:52.814888,1,-1.0
1,16:57:39.807047,16:57:53.009583,1,-1.0
