Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,21:10:01.144433,21:10:03.959651,-1,-1.0
1,21:10:01.144433,21:10:04.472308,-1,-1.0
1,21:10:01.144433,21:10:04.940684,1,-1.0
1,21:10:01.144433,21:10:05.212603,1,-1.0
1,21:10:01.144433,21:10:05.378493,1,-1.0
1,21:10:01.144433,21:10:05.584620,1,-1.0
1,21:10:01.144433,21:10:05.758088,1,-1.0
1,21:10:01.144433,21:10:05.939996,1,-1.0
1,21:10:01.144433,21:10:06.128482,1,-1.0
1,21:10:01.144433,21:10:06.313177,1,-1.0
1,21:10:01.144433,21:10:06.490953,1,-1.0
1,21:10:01.144433,21:10:06.670070,1,-1.0
1,21:10:01.144433,21:10:06.841666,1,-1.0
1,21:10:01.144433,21:10:07.074149,1,-1.0
1,21:10:01.144433,21:10:07.279640,1,-1.0
1,21:10:01.144433,21:10:07.453753,1,-1.0
1,21:10:01.144433,21:10:07.664516,1,-1.0
1,21:10:01.144433,21:10:07.940556,1,-1.0
1,21:10:01.144433,21:10:08.157945,1,-1.0
1,21:10:01.144433,21:10:08.370615,1,-1.0
1,21:10:01.144433,21:10:08.527086,1,-1.0
1,21:10:01.144433,21:10:08.816000,1,-1.0
1,21:10:01.144433,21:10:09.015788,1,-1.0
1,21:10:01.144433,21:10:09.196205,1,-1.0
1,21:10:01.144433,21:10:09.375537,1,-1.0
1,21:10:01.144433,21:10:09.556774,1,-1.0
1,21:10:01.144433,21:10:09.745607,1,-1.0
1,21:10:01.144433,21:10:09.930627,1,-1.0
1,21:10:01.144433,21:10:10.124026,1,-1.0
1,21:10:01.144433,21:10:10.316549,1,-1.0
1,21:10:01.144433,21:10:10.515805,1,-1.0
1,21:10:01.144433,21:10:10.799689,-1,-1.0
1,21:10:01.144433,21:10:11.170947,-1,-1.0
1,21:10:01.144433,21:10:11.582643,-1,-1.0
1,21:10:01.144433,21:10:11.954720,-1,-1.0
1,21:10:01.144433,21:10:12.344439,-1,-1.0
1,21:10:01.144433,21:10:12.711119,-1,-1.0
1,21:10:01.144433,21:10:13.025892,-1,-1.0
1,21:10:01.144433,21:10:13.340548,-1,-1.0
1,21:10:01.144433,21:10:13.682140,-1,-1.0
1,21:10:01.144433,21:10:14.017747,-1,-1.0
1,21:10:01.144433,21:10:14.411992,1,-1.0
1,21:10:01.144433,21:10:14.620732,1,-1.0
1,21:10:01.144433,21:10:14.822356,1,-1.0
1,21:10:01.144433,21:10:14.989427,1,-1.0
1,21:10:01.144433,21:10:15.182899,1,-1.0
1,21:10:01.144433,21:10:15.360809,1,-1.0
1,21:10:01.144433,21:10:15.552465,1,-1.0
1,21:10:01.144433,21:10:15.756254,1,-1.0
1,21:10:01.144433,21:10:15.946744,1,-1.0
1,21:10:01.144433,21:10:16.134052,1,-1.0
1,21:10:01.144433,21:10:16.307004,1,-1.0
1,21:10:01.144433,21:10:16.504397,1,-1.0
1,21:10:01.144433,21:10:16.696370,1,-1.0
1,21:10:01.144433,21:10:16.920498,1,-1.0
1,21:10:01.144433,21:10:17.103000,1,-1.0
1,21:10:01.144433,21:10:17.329052,1,-1.0
1,21:10:01.144433,21:10:17.534232,1,-1.0
1,21:10:01.144433,21:10:17.703849,1,-1.0
1,21:10:01.144433,21:10:17.882869,1,-1.0
1,21:10:01.144433,21:10:18.299683,-1,-1.0
1,21:10:01.144433,21:10:18.757334,-1,-1.0
1,21:10:01.144433,21:10:19.210444,-1,-1.0
1,21:10:01.144433,21:10:19.636064,1,-1.0
1,21:10:01.144433,21:10:19.864957,1,-1.0
1,21:10:01.144433,21:10:20.048221,1,-1.0
1,21:10:01.144433,21:10:20.257696,1,-1.0
1,21:10:01.144433,21:10:20.458959,1,-1.0
1,21:10:01.144433,21:10:20.661625,1,-1.0
1,21:10:01.144433,21:10:20.866445,1,-1.0
1,21:10:01.144433,21:10:21.060306,1,-1.0
1,21:10:01.144433,21:10:21.264238,1,-1.0
1,21:10:01.144433,21:10:21.461291,1,-1.0
1,21:10:01.144433,21:10:21.648312,1,-1.0
1,21:10:01.144433,21:10:21.860184,1,-1.0
1,21:10:01.144433,21:10:22.066360,1,-1.0
1,21:10:01.144433,21:10:22.269768,1,-1.0
1,21:10:01.144433,21:10:22.461474,1,-1.0
1,21:10:01.144433,21:10:22.671921,1,-1.0
1,21:10:01.144433,21:10:22.899330,1,-1.0
1,21:10:01.144433,21:10:23.102367,1,-1.0
1,21:10:01.144433,21:10:23.294312,1,-1.0
1,21:10:01.144433,21:10:23.492067,1,-1.0
1,21:10:01.144433,21:10:23.698243,1,-1.0
1,21:10:01.144433,21:10:23.934083,1,-1.0
1,21:10:01.144433,21:10:24.092687,1,-1.0
1,21:10:01.144433,21:10:24.284806,1,-1.0
1,21:10:01.144433,21:10:24.500790,1,-1.0
1,21:10:01.144433,21:10:24.734153,1,-1.0
1,21:10:01.144433,21:10:24.919375,1,-1.0
1,21:10:01.144433,21:10:25.107220,1,-1.0
1,21:10:01.144433,21:10:25.306248,1,-1.0
1,21:10:01.144433,21:10:25.509260,1,-1.0
1,21:10:01.144433,21:10:25.728738,1,-1.0
1,21:10:01.144433,21:10:25.972182,1,-1.0
1,21:10:01.144433,21:10:26.183857,1,-1.0
1,21:10:01.144433,21:10:26.388544,1,-1.0
1,21:10:01.144433,21:10:26.617106,1,-1.0
1,21:10:01.144433,21:10:26.825231,1,-1.0
1,21:10:01.144433,21:10:27.035081,1,-1.0
1,21:10:01.144433,21:10:27.312444,1,-1.0
1,21:10:01.144433,21:10:27.499007,1,-1.0
1,21:10:01.144433,21:10:27.678398,1,-1.0
1,21:10:01.144433,21:10:27.936238,1,-1.0
1,21:10:01.144433,21:10:28.168167,1,-1.0
1,21:10:01.144433,21:10:28.347419,1,-1.0
1,21:10:01.144433,21:10:28.576038,1,-1.0
1,21:10:01.144433,21:10:28.781950,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,21:10:40.947403,21:10:42.884339,1,-1.0
2,21:10:40.947403,21:10:43.078176,1,-1.0
2,21:10:40.947403,21:10:43.261607,1,-1.0
2,21:10:40.947403,21:10:43.458165,1,-1.0
2,21:10:40.947403,21:10:43.636944,1,-1.0
2,21:10:40.947403,21:10:43.852827,1,-1.0
2,21:10:40.947403,21:10:44.002726,1,-1.0
2,21:10:40.947403,21:10:44.195610,1,-1.0
2,21:10:40.947403,21:10:44.382255,1,-1.0
2,21:10:40.947403,21:10:44.586327,1,-1.0
2,21:10:40.947403,21:10:44.774692,1,-1.0
2,21:10:40.947403,21:10:44.953082,1,-1.0
2,21:10:40.947403,21:10:45.149571,1,-1.0
2,21:10:40.947403,21:10:45.365139,1,-1.0
2,21:10:40.947403,21:10:45.502328,1,-1.0
2,21:10:40.947403,21:10:45.732244,1,-1.0
2,21:10:40.947403,21:10:45.924914,1,-1.0
2,21:10:40.947403,21:10:46.110841,1,-1.0
2,21:10:40.947403,21:10:46.303157,1,-1.0
2,21:10:40.947403,21:10:46.490849,1,-1.0
2,21:10:40.947403,21:10:46.688048,1,-1.0
2,21:10:40.947403,21:10:46.899828,1,-1.0
2,21:10:40.947403,21:10:47.078110,1,-1.0
2,21:10:40.947403,21:10:47.287143,1,-1.0
2,21:10:40.947403,21:10:47.476398,1,-1.0
2,21:10:40.947403,21:10:47.707375,1,-1.0
2,21:10:40.947403,21:10:47.939424,1,-1.0
2,21:10:40.947403,21:10:48.156910,1,-1.0
2,21:10:40.947403,21:10:48.442421,1,-1.0
2,21:10:40.947403,21:10:48.686011,1,-1.0
2,21:10:40.947403,21:10:48.960910,1,-1.0
2,21:10:40.947403,21:10:49.250008,1,-1.0
2,21:10:40.947403,21:10:49.589386,-1,-1.0
2,21:10:40.947403,21:10:50.171867,-1,-1.0
2,21:10:40.947403,21:10:50.595140,-1,-1.0
2,21:10:40.947403,21:10:51.038296,-1,-1.0
2,21:10:40.947403,21:10:51.458476,-1,-1.0
2,21:10:40.947403,21:10:51.962758,-1,-1.0
2,21:10:40.947403,21:10:52.356079,-1,-1.0
2,21:10:40.947403,21:10:52.759118,1,-1.0
2,21:10:40.947403,21:10:52.939302,1,-1.0
2,21:10:40.947403,21:10:53.136453,1,-1.0
2,21:10:40.947403,21:10:53.359798,1,-1.0
2,21:10:40.947403,21:10:53.535246,1,-1.0
2,21:10:40.947403,21:10:53.724676,1,-1.0
2,21:10:40.947403,21:10:53.918797,1,-1.0
2,21:10:40.947403,21:10:54.107390,1,-1.0
2,21:10:40.947403,21:10:54.297141,1,-1.0
2,21:10:40.947403,21:10:54.502012,1,-1.0
2,21:10:40.947403,21:10:54.698622,1,-1.0
2,21:10:40.947403,21:10:54.880857,1,-1.0
2,21:10:40.947403,21:10:55.084114,1,-1.0
2,21:10:40.947403,21:10:55.258254,1,-1.0
2,21:10:40.947403,21:10:55.462504,1,-1.0
2,21:10:40.947403,21:10:55.860227,1,-1.0
2,21:10:40.947403,21:10:56.106584,1,-1.0
2,21:10:40.947403,21:10:56.314106,1,-1.0
2,21:10:40.947403,21:10:56.769302,1,-1.0
2,21:10:40.947403,21:10:57.019934,-1,-1.0
2,21:10:40.947403,21:10:57.623962,1,-1.0
2,21:10:40.947403,21:10:57.800020,1,-1.0
