Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,09:36:09.054583,09:36:11.565355,1,-1.0
1,09:36:09.054583,09:36:11.860492,1,-1.0
1,09:36:09.054583,09:36:12.094968,1,-1.0
1,09:36:09.054583,09:36:12.294776,1,-1.0
1,09:36:09.054583,09:36:12.502834,1,-1.0
1,09:36:09.054583,09:36:12.697555,1,-1.0
1,09:36:09.054583,09:36:12.880594,1,-1.0
1,09:36:09.054583,09:36:13.071297,1,-1.0
1,09:36:09.054583,09:36:13.246923,1,-1.0
1,09:36:09.054583,09:36:13.429246,1,-1.0
1,09:36:09.054583,09:36:13.608834,1,-1.0
1,09:36:09.054583,09:36:13.781610,1,-1.0
1,09:36:09.054583,09:36:14.396609,1,-1.0
1,09:36:09.054583,09:36:14.732914,1,-1.0
1,09:36:09.054583,09:36:15.028142,1,-1.0
1,09:36:09.054583,09:36:15.403513,1,-1.0
1,09:36:09.054583,09:36:15.624900,1,-1.0
1,09:36:09.054583,09:36:15.806260,1,-1.0
1,09:36:09.054583,09:36:16.016570,1,-1.0
1,09:36:09.054583,09:36:16.176385,1,-1.0
1,09:36:09.054583,09:36:16.359014,1,-1.0
1,09:36:09.054583,09:36:16.537351,1,-1.0
1,09:36:09.054583,09:36:16.726387,1,-1.0
1,09:36:09.054583,09:36:16.914959,1,-1.0
1,09:36:09.054583,09:36:17.392419,1,-1.0
1,09:36:09.054583,09:36:17.605337,1,-1.0
1,09:36:09.054583,09:36:17.837120,1,-1.0
1,09:36:09.054583,09:36:18.114014,-1,-1.0
1,09:36:09.054583,09:36:18.450942,-1,-1.0
1,09:36:09.054583,09:36:18.616829,-1,-1.0
1,09:36:09.054583,09:36:18.859458,1,-1.0
1,09:36:09.054583,09:36:19.070168,-1,-1.0
1,09:36:09.054583,09:36:19.343362,-1,-1.0
1,09:36:09.054583,09:36:19.610472,-1,-1.0
1,09:36:09.054583,09:36:19.838161,-1,-1.0
1,09:36:09.054583,09:36:20.097904,-1,-1.0
1,09:36:09.054583,09:36:20.276219,-1,-1.0
1,09:36:09.054583,09:36:20.552966,-1,-1.0
1,09:36:09.054583,09:36:20.754956,-1,-1.0
1,09:36:09.054583,09:36:21.051729,1,-1.0
1,09:36:09.054583,09:36:21.214770,1,-1.0
1,09:36:09.054583,09:36:21.429613,1,-1.0
1,09:36:09.054583,09:36:21.618974,1,-1.0
1,09:36:09.054583,09:36:21.807229,1,-1.0
1,09:36:09.054583,09:36:21.932403,1,-1.0
1,09:36:09.054583,09:36:22.111471,1,-1.0
1,09:36:09.054583,09:36:22.292753,1,-1.0
1,09:36:09.054583,09:36:22.467349,1,-1.0
1,09:36:09.054583,09:36:22.657189,1,-1.0
