Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,17:35:38.631709,17:35:39.860579,1,-1.0
1,17:35:38.631709,17:35:40.060719,1,-1.0
1,17:35:38.631709,17:35:40.328953,1,-1.0
1,17:35:38.631709,17:35:40.513674,1,-1.0
1,17:35:38.631709,17:35:40.856803,1,-1.0
1,17:35:38.631709,17:35:41.019207,1,-1.0
1,17:35:38.631709,17:35:41.206510,1,-1.0
1,17:35:38.631709,17:35:41.437247,1,-1.0
1,17:35:38.631709,17:35:41.620379,1,-1.0
1,17:35:38.631709,17:35:41.945765,1,-1.0
1,17:35:38.631709,17:35:42.153980,1,-1.0
1,17:35:38.631709,17:35:42.364250,1,-1.0
1,17:35:38.631709,17:35:42.610249,1,-1.0
1,17:35:38.631709,17:35:42.912420,1,-1.0
1,17:35:38.631709,17:35:43.105360,1,-1.0
1,17:35:38.631709,17:35:43.365194,1,-1.0
1,17:35:38.631709,17:35:43.607028,1,-1.0
1,17:35:38.631709,17:35:43.840406,1,-1.0
1,17:35:38.631709,17:35:44.076217,1,-1.0
1,17:35:38.631709,17:35:44.310843,1,-1.0
1,17:35:38.631709,17:35:44.533804,1,-1.0
1,17:35:38.631709,17:35:44.732194,1,-1.0
1,17:35:38.631709,17:35:44.970416,1,-1.0
1,17:35:38.631709,17:35:45.188003,1,-1.0
1,17:35:38.631709,17:35:45.433804,1,-1.0
1,17:35:38.631709,17:35:45.651057,1,-1.0
1,17:35:38.631709,17:35:45.874821,1,-1.0
1,17:35:38.631709,17:35:46.118754,1,-1.0
1,17:35:38.631709,17:35:46.375401,1,-1.0
1,17:35:38.631709,17:35:46.631043,1,-1.0
1,17:35:38.631709,17:35:46.960690,1,-1.0
1,17:35:38.631709,17:35:47.406937,-1,-1.0
1,17:35:38.631709,17:35:47.921868,-1,-1.0
1,17:35:38.631709,17:35:48.318893,-1,-1.0
1,17:35:38.631709,17:35:48.772439,-1,-1.0
1,17:35:38.631709,17:35:49.167991,-1,-1.0
1,17:35:38.631709,17:35:49.413603,1,-1.0
1,17:35:38.631709,17:35:49.813781,-1,-1.0
1,17:35:38.631709,17:35:50.028462,-1,-1.0
1,17:35:38.631709,17:35:50.270627,-1,-1.0
1,17:35:38.631709,17:35:50.416746,-1,-1.0
1,17:35:38.631709,17:35:50.597692,-1,-1.0
1,17:35:38.631709,17:35:50.845851,-1,-1.0
1,17:35:38.631709,17:35:51.006756,1,-1.0
1,17:35:38.631709,17:35:51.378427,1,-1.0
1,17:35:38.631709,17:35:51.538804,1,-1.0
1,17:35:38.631709,17:35:51.686040,1,-1.0
1,17:35:38.631709,17:35:51.831673,1,-1.0
1,17:35:38.631709,17:35:51.984722,1,-1.0
1,17:35:38.631709,17:35:52.122164,1,-1.0
1,17:35:38.631709,17:35:52.261954,1,-1.0
1,17:35:38.631709,17:35:52.440839,1,-1.0
1,17:35:38.631709,17:35:52.584523,1,-1.0
1,17:35:38.631709,17:35:52.753887,1,-1.0
1,17:35:38.631709,17:35:52.900716,1,-1.0
1,17:35:38.631709,17:35:53.057490,1,-1.0
1,17:35:38.631709,17:35:53.236842,1,-1.0
1,17:35:38.631709,17:35:53.402379,1,-1.0
1,17:35:38.631709,17:35:53.582797,1,-1.0
1,17:35:38.631709,17:35:53.754603,1,-1.0
1,17:35:38.631709,17:35:53.954217,1,-1.0
1,17:35:38.631709,17:35:54.142561,1,-1.0
1,17:35:38.631709,17:35:54.330514,1,-1.0
1,17:35:38.631709,17:35:54.522930,1,-1.0
1,17:35:38.631709,17:35:54.787321,1,-1.0
1,17:35:38.631709,17:35:54.975505,1,-1.0
1,17:35:38.631709,17:35:55.262532,1,-1.0
1,17:35:38.631709,17:35:55.457867,1,-1.0
1,17:35:38.631709,17:35:55.654358,1,-1.0
1,17:35:38.631709,17:35:55.937124,1,-1.0
1,17:35:38.631709,17:35:56.121986,1,-1.0
1,17:35:38.631709,17:35:56.393624,1,-1.0
1,17:35:38.631709,17:35:56.586222,1,-1.0
1,17:35:38.631709,17:35:56.960394,1,-1.0
1,17:35:38.631709,17:35:57.183286,1,-1.0
1,17:35:38.631709,17:35:57.396683,1,-1.0
1,17:35:38.631709,17:35:57.569097,1,-1.0
1,17:35:38.631709,17:35:57.794030,1,-1.0
1,17:35:38.631709,17:35:58.026742,1,-1.0
1,17:35:38.631709,17:35:58.255510,-1,-1.0
1,17:35:38.631709,17:35:58.713503,-1,-1.0
1,17:35:38.631709,17:35:58.926758,-1,-1.0
1,17:35:38.631709,17:35:59.233774,-1,-1.0
1,17:35:38.631709,17:35:59.561493,-1,-1.0
1,17:35:38.631709,17:35:59.946692,-1,-1.0
1,17:35:38.631709,17:36:00.327117,1,-1.0
1,17:35:38.631709,17:36:00.570468,1,-1.0
1,17:35:38.631709,17:36:00.739288,1,-1.0
1,17:35:38.631709,17:36:00.907052,1,-1.0
1,17:35:38.631709,17:36:01.086100,1,-1.0
1,17:35:38.631709,17:36:01.246485,1,-1.0
1,17:35:38.631709,17:36:01.477434,1,-1.0
1,17:35:38.631709,17:36:01.667445,1,-1.0
1,17:35:38.631709,17:36:01.851060,1,-1.0
1,17:35:38.631709,17:36:02.019276,1,-1.0
1,17:35:38.631709,17:36:02.209170,1,-1.0
1,17:35:38.631709,17:36:02.395359,1,-1.0
1,17:35:38.631709,17:36:02.646989,1,-1.0
1,17:35:38.631709,17:36:02.958169,1,-1.0
1,17:35:38.631709,17:36:03.227451,1,-1.0
1,17:35:38.631709,17:36:03.440648,1,-1.0
1,17:35:38.631709,17:36:03.660546,1,-1.0
1,17:35:38.631709,17:36:03.898796,1,-1.0
1,17:35:38.631709,17:36:04.099591,1,-1.0
1,17:35:38.631709,17:36:04.334088,1,-1.0
1,17:35:38.631709,17:36:04.535312,1,-1.0
1,17:35:38.631709,17:36:04.798407,1,-1.0
1,17:35:38.631709,17:36:05.022387,1,-1.0
1,17:35:38.631709,17:36:05.244385,1,-1.0
