Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:39:40.428223,16:39:41.396386,1,-1.0
1,16:39:40.428223,16:39:41.581205,1,-1.0
1,16:39:40.428223,16:39:41.760200,1,-1.0
1,16:39:40.428223,16:39:41.960346,1,-1.0
1,16:39:40.428223,16:39:42.150764,1,-1.0
1,16:39:40.428223,16:39:42.340028,1,-1.0
1,16:39:40.428223,16:39:42.562572,1,-1.0
1,16:39:40.428223,16:39:42.766678,1,-1.0
1,16:39:40.428223,16:39:42.997757,1,-1.0
1,16:39:40.428223,16:39:43.231527,1,-1.0
1,16:39:40.428223,16:39:43.440037,1,-1.0
1,16:39:40.428223,16:39:43.671053,1,-1.0
1,16:39:40.428223,16:39:43.870332,1,-1.0
1,16:39:40.428223,16:39:44.426883,1,-1.0
1,16:39:40.428223,16:39:44.983435,1,-1.0
1,16:39:40.428223,16:39:45.500048,1,-1.0
1,16:39:40.428223,16:39:45.978362,1,-1.0
1,16:39:40.428223,16:39:46.484587,1,-1.0
1,16:39:40.428223,16:39:46.970744,1,-1.0
1,16:39:40.428223,16:39:47.514682,1,-1.0
1,16:39:40.428223,16:39:48.093740,1,-1.0
1,16:39:40.428223,16:39:48.662017,1,-1.0
1,16:39:40.428223,16:39:49.204698,1,-1.0
1,16:39:40.428223,16:39:49.790487,1,-1.0
1,16:39:40.428223,16:39:50.397906,1,-1.0
1,16:39:40.428223,16:39:51.191381,-1,-1.0
1,16:39:40.428223,16:39:51.681149,-1,-1.0
1,16:39:40.428223,16:39:52.292086,-1,-1.0
1,16:39:40.428223,16:39:52.811431,-1,-1.0
1,16:39:40.428223,16:39:53.304541,-1,-1.0
1,16:39:40.428223,16:39:54.022174,-1,-1.0
1,16:39:40.428223,16:39:54.445641,-1,-1.0
1,16:39:40.428223,16:39:54.988296,-1,-1.0
1,16:39:40.428223,16:39:55.416849,1,-1.0
1,16:39:40.428223,16:39:55.924310,-1,-1.0
1,16:39:40.428223,16:39:56.278587,-1,-1.0
1,16:39:40.428223,16:39:56.776822,-1,-1.0
1,16:39:40.428223,16:39:57.243030,1,-1.0
1,16:39:40.428223,16:39:57.757183,-1,-1.0
1,16:39:40.428223,16:39:58.188094,-1,-1.0
1,16:39:40.428223,16:39:58.599831,-1,-1.0
1,16:39:40.428223,16:39:59.110348,-1,-1.0
1,16:39:40.428223,16:39:59.490837,-1,-1.0
1,16:39:40.428223,16:39:59.974785,-1,-1.0
1,16:39:40.428223,16:40:00.409954,-1,-1.0
1,16:39:40.428223,16:40:00.848496,1,-1.0
1,16:39:40.428223,16:40:01.053218,1,-1.0
1,16:39:40.428223,16:40:01.278062,1,-1.0
1,16:39:40.428223,16:40:01.511418,1,-1.0
1,16:39:40.428223,16:40:01.749095,1,-1.0
1,16:39:40.428223,16:40:01.980795,1,-1.0
1,16:39:40.428223,16:40:02.217579,1,-1.0
1,16:39:40.428223,16:40:02.422635,1,-1.0
1,16:39:40.428223,16:40:02.664574,1,-1.0
1,16:39:40.428223,16:40:02.891080,1,-1.0
1,16:39:40.428223,16:40:03.104471,1,-1.0
1,16:39:40.428223,16:40:03.314570,1,-1.0
1,16:39:40.428223,16:40:03.538487,1,-1.0
1,16:39:40.428223,16:40:03.789420,1,-1.0
1,16:39:40.428223,16:40:04.000048,1,-1.0
1,16:39:40.428223,16:40:04.225693,1,-1.0
1,16:39:40.428223,16:40:04.474389,1,-1.0
1,16:39:40.428223,16:40:04.687877,1,-1.0
1,16:39:40.428223,16:40:04.957924,1,-1.0
1,16:39:40.428223,16:40:05.224436,1,-1.0
1,16:39:40.428223,16:40:05.471708,1,-1.0
1,16:39:40.428223,16:40:05.695112,1,-1.0
1,16:39:40.428223,16:40:05.922387,1,-1.0
1,16:39:40.428223,16:40:06.212287,1,-1.0
1,16:39:40.428223,16:40:06.486935,1,-1.0
1,16:39:40.428223,16:40:06.778396,1,-1.0
1,16:39:40.428223,16:40:07.082280,1,-1.0
1,16:39:40.428223,16:40:07.393456,1,-1.0
1,16:39:40.428223,16:40:07.722320,1,-1.0
1,16:39:40.428223,16:40:08.026971,1,-1.0
1,16:39:40.428223,16:40:08.311522,1,-1.0
1,16:39:40.428223,16:40:08.590268,1,-1.0
1,16:39:40.428223,16:40:08.876705,1,-1.0
1,16:39:40.428223,16:40:09.141081,1,-1.0
1,16:39:40.428223,16:40:09.418096,1,-1.0
1,16:39:40.428223,16:40:09.729519,1,-1.0
1,16:39:40.428223,16:40:09.987997,1,-1.0
1,16:39:40.428223,16:40:10.316642,1,-1.0
1,16:39:40.428223,16:40:10.839514,1,-1.0
1,16:39:40.428223,16:40:11.329221,1,-1.0
1,16:39:40.428223,16:40:11.892555,1,-1.0
1,16:39:40.428223,16:40:12.263673,-1,-1.0
1,16:39:40.428223,16:40:12.470704,-1,-1.0
1,16:39:40.428223,16:40:12.798050,-1,-1.0
1,16:39:40.428223,16:40:13.080135,-1,-1.0
1,16:39:40.428223,16:40:13.354551,-1,-1.0
1,16:39:40.428223,16:40:13.813064,-1,-1.0
1,16:39:40.428223,16:40:14.376278,1,-1.0
1,16:39:40.428223,16:40:14.553389,1,-1.0
1,16:39:40.428223,16:40:14.740685,1,-1.0
1,16:39:40.428223,16:40:14.942861,1,-1.0
1,16:39:40.428223,16:40:15.129700,1,-1.0
1,16:39:40.428223,16:40:15.339236,1,-1.0
1,16:39:40.428223,16:40:15.556937,1,-1.0
1,16:39:40.428223,16:40:15.777678,1,-1.0
1,16:39:40.428223,16:40:16.004171,1,-1.0
1,16:39:40.428223,16:40:16.220008,1,-1.0
1,16:39:40.428223,16:40:16.437389,1,-1.0
1,16:39:40.428223,16:40:16.660909,1,-1.0
1,16:39:40.428223,16:40:16.867688,1,-1.0
1,16:39:40.428223,16:40:17.113837,1,-1.0
1,16:39:40.428223,16:40:17.340381,1,-1.0
1,16:39:40.428223,16:40:17.552758,1,-1.0
1,16:39:40.428223,16:40:17.810156,1,-1.0
1,16:39:40.428223,16:40:18.005712,1,-1.0
1,16:39:40.428223,16:40:18.230404,1,-1.0
1,16:39:40.428223,16:40:18.518729,1,-1.0
1,16:39:40.428223,16:40:18.748850,1,-1.0
1,16:39:40.428223,16:40:18.952792,1,-1.0
1,16:39:40.428223,16:40:19.195265,1,-1.0
1,16:39:40.428223,16:40:19.438360,1,-1.0
1,16:39:40.428223,16:40:19.691773,1,-1.0
1,16:39:40.428223,16:40:19.930732,1,-1.0
1,16:39:40.428223,16:40:20.176258,1,-1.0
1,16:39:40.428223,16:40:20.456380,1,-1.0
1,16:39:40.428223,16:40:20.682620,1,-1.0
1,16:39:40.428223,16:40:20.970958,1,-1.0
1,16:39:40.428223,16:40:21.228508,1,-1.0
1,16:39:40.428223,16:40:21.490209,1,-1.0
1,16:39:40.428223,16:40:21.760798,1,-1.0
1,16:39:40.428223,16:40:22.096282,1,-1.0
1,16:39:40.428223,16:40:22.371941,1,-1.0
1,16:39:40.428223,16:40:22.624151,1,-1.0
1,16:39:40.428223,16:40:22.902776,1,-1.0
1,16:39:40.428223,16:40:23.200644,1,-1.0
1,16:39:40.428223,16:40:23.510290,1,-1.0
1,16:39:40.428223,16:40:23.825335,1,-1.0
1,16:39:40.428223,16:40:24.065498,1,-1.0
1,16:39:40.428223,16:40:24.344877,1,-1.0
