Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,17:13:09.814358,17:13:10.843948,1,-1.0
1,17:13:09.814358,17:13:11.179105,1,-1.0
1,17:13:09.814358,17:13:11.350198,1,-1.0
1,17:13:09.814358,17:13:11.516831,1,-1.0
1,17:13:09.814358,17:13:11.669912,1,-1.0
1,17:13:09.814358,17:13:11.833117,1,-1.0
1,17:13:09.814358,17:13:11.986467,1,-1.0
1,17:13:09.814358,17:13:12.142911,1,-1.0
1,17:13:09.814358,17:13:12.305537,1,-1.0
1,17:13:09.814358,17:13:12.468433,1,-1.0
1,17:13:09.814358,17:13:12.620185,1,-1.0
1,17:13:09.814358,17:13:12.783053,1,-1.0
1,17:13:09.814358,17:13:12.934762,1,-1.0
1,17:13:09.814358,17:13:13.104914,1,-1.0
1,17:13:09.814358,17:13:13.254832,1,-1.0
1,17:13:09.814358,17:13:13.393122,1,-1.0
1,17:13:09.814358,17:13:13.570319,1,-1.0
1,17:13:09.814358,17:13:13.721441,1,-1.0
1,17:13:09.814358,17:13:13.891020,1,-1.0
1,17:13:09.814358,17:13:14.052098,1,-1.0
1,17:13:09.814358,17:13:14.218317,1,-1.0
1,17:13:09.814358,17:13:14.380609,1,-1.0
1,17:13:09.814358,17:13:14.544097,1,-1.0
1,17:13:09.814358,17:13:14.729252,1,-1.0
1,17:13:09.814358,17:13:14.895479,1,-1.0
1,17:13:09.814358,17:13:15.071553,1,-1.0
1,17:13:09.814358,17:13:15.237597,1,-1.0
1,17:13:09.814358,17:13:15.422776,1,-1.0
1,17:13:09.814358,17:13:15.607013,1,-1.0
1,17:13:09.814358,17:13:15.781881,1,-1.0
1,17:13:09.814358,17:13:15.985046,1,-1.0
1,17:13:09.814358,17:13:16.175304,1,-1.0
1,17:13:09.814358,17:13:16.380682,1,-1.0
1,17:13:09.814358,17:13:16.572457,1,-1.0
1,17:13:09.814358,17:13:16.741202,1,-1.0
1,17:13:09.814358,17:13:16.938785,-1,-1.0
1,17:13:09.814358,17:13:17.417808,-1,-1.0
1,17:13:09.814358,17:13:17.903532,-1,-1.0
1,17:13:09.814358,17:13:18.289280,-1,-1.0
1,17:13:09.814358,17:13:18.643914,-1,-1.0
1,17:13:09.814358,17:13:19.100839,-1,-1.0
1,17:13:09.814358,17:13:19.440326,-1,-1.0
1,17:13:09.814358,17:13:19.775490,-1,-1.0
1,17:13:09.814358,17:13:20.063882,-1,-1.0
1,17:13:09.814358,17:13:20.458366,1,-1.0
1,17:13:09.814358,17:13:21.381951,-1,-1.0
1,17:13:09.814358,17:13:21.777422,1,-1.0
1,17:13:09.814358,17:13:22.103197,-1,-1.0
1,17:13:09.814358,17:13:22.515946,-1,-1.0
1,17:13:09.814358,17:13:22.847755,-1,-1.0
1,17:13:09.814358,17:13:23.217464,-1,-1.0
1,17:13:09.814358,17:13:23.576306,-1,-1.0
1,17:13:09.814358,17:13:23.930264,-1,-1.0
1,17:13:09.814358,17:13:24.294182,-1,-1.0
1,17:13:09.814358,17:13:24.629844,-1,-1.0
1,17:13:09.814358,17:13:24.966125,-1,-1.0
1,17:13:09.814358,17:13:25.307502,-1,-1.0
1,17:13:09.814358,17:13:25.988816,1,-1.0
1,17:13:09.814358,17:13:26.208285,1,-1.0
1,17:13:09.814358,17:13:26.410985,1,-1.0
1,17:13:09.814358,17:13:26.578747,1,-1.0
1,17:13:09.814358,17:13:26.754931,1,-1.0
1,17:13:09.814358,17:13:26.916620,1,-1.0
1,17:13:09.814358,17:13:27.092231,1,-1.0
1,17:13:09.814358,17:13:27.252767,1,-1.0
1,17:13:09.814358,17:13:27.425416,1,-1.0
1,17:13:09.814358,17:13:27.605640,1,-1.0
1,17:13:09.814358,17:13:27.786221,1,-1.0
1,17:13:09.814358,17:13:27.980190,1,-1.0
1,17:13:09.814358,17:13:28.158707,1,-1.0
1,17:13:09.814358,17:13:28.352238,1,-1.0
1,17:13:09.814358,17:13:28.552947,1,-1.0
1,17:13:09.814358,17:13:28.736466,1,-1.0
1,17:13:09.814358,17:13:28.955407,1,-1.0
1,17:13:09.814358,17:13:29.140762,1,-1.0
