Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,13:47:21.788879,13:47:23.174084,-1,-1.0
1,13:47:21.788879,13:47:23.523716,-1,-1.0
1,13:47:21.788879,13:47:25.543991,1,-1.0
1,13:47:21.788879,13:47:26.462566,1,-1.0
1,13:47:21.788879,13:47:26.752634,1,-1.0
1,13:47:21.788879,13:47:26.975829,1,-1.0
1,13:47:21.788879,13:47:27.244873,1,-1.0
1,13:47:21.788879,13:47:27.584440,1,-1.0
1,13:47:21.788879,13:47:27.932942,1,-1.0
1,13:47:21.788879,13:47:28.245451,1,-1.0
1,13:47:21.788879,13:47:28.564153,1,-1.0
1,13:47:21.788879,13:47:28.907494,1,-1.0
1,13:47:21.788879,13:47:29.220672,1,-1.0
1,13:47:21.788879,13:47:29.524911,1,-1.0
1,13:47:21.788879,13:47:29.881171,1,-1.0
1,13:47:21.788879,13:47:30.164462,1,-1.0
1,13:47:21.788879,13:47:30.433345,1,-1.0
1,13:47:21.788879,13:47:30.706650,1,-1.0
1,13:47:21.788879,13:47:31.044235,1,-1.0
1,13:47:21.788879,13:47:31.362374,1,-1.0
1,13:47:21.788879,13:47:31.740932,-1,-1.0
1,13:47:21.788879,13:47:32.086348,-1,-1.0
1,13:47:21.788879,13:47:32.446994,-1,-1.0
1,13:47:21.788879,13:47:32.770419,-1,-1.0
1,13:47:21.788879,13:47:33.079058,-1,-1.0
1,13:47:21.788879,13:47:33.340428,-1,-1.0
1,13:47:21.788879,13:47:33.605061,-1,-1.0
1,13:47:21.788879,13:47:34.105751,-1,-1.0
1,13:47:21.788879,13:47:34.481587,-1,-1.0
1,13:47:21.788879,13:47:34.904876,-1,-1.0
1,13:47:21.788879,13:47:35.248943,-1,-1.0
1,13:47:21.788879,13:47:36.239636,-1,-1.0
1,13:47:21.788879,13:47:36.874387,-1,-1.0
1,13:47:21.788879,13:47:37.495128,-1,-1.0
1,13:47:21.788879,13:47:38.062101,1,-1.0
1,13:47:21.788879,13:47:38.327408,1,-1.0
1,13:47:21.788879,13:47:38.622697,1,-1.0
1,13:47:21.788879,13:47:38.895497,1,-1.0
1,13:47:21.788879,13:47:39.202732,1,-1.0
1,13:47:21.788879,13:47:39.502986,1,-1.0
1,13:47:21.788879,13:47:39.777812,1,-1.0
1,13:47:21.788879,13:47:40.041737,1,-1.0
1,13:47:21.788879,13:47:40.284954,1,-1.0
1,13:47:21.788879,13:47:40.586376,1,-1.0
1,13:47:21.788879,13:47:40.897321,1,-1.0
1,13:47:21.788879,13:47:41.213949,1,-1.0
1,13:47:21.788879,13:47:41.522582,1,-1.0
1,13:47:21.788879,13:47:41.865428,1,-1.0
1,13:47:21.788879,13:47:42.172642,1,-1.0
1,13:47:21.788879,13:47:42.544083,-1,-1.0
1,13:47:21.788879,13:47:43.125151,-1,-1.0
1,13:47:21.788879,13:47:43.623140,-1,-1.0
1,13:47:21.788879,13:47:44.191837,-1,-1.0
1,13:47:21.788879,13:47:44.797517,1,-1.0
1,13:47:21.788879,13:47:45.074424,1,-1.0
1,13:47:21.788879,13:47:45.415910,1,-1.0
1,13:47:21.788879,13:47:45.758777,1,-1.0
1,13:47:21.788879,13:47:46.083799,1,-1.0
1,13:47:21.788879,13:47:46.322251,1,-1.0
1,13:47:21.788879,13:47:46.553289,1,-1.0
1,13:47:21.788879,13:47:46.839941,1,-1.0
1,13:47:21.788879,13:47:47.080175,1,-1.0
1,13:47:21.788879,13:47:47.286803,1,-1.0
1,13:47:21.788879,13:47:47.538774,1,-1.0
1,13:47:21.788879,13:47:47.777625,1,-1.0
1,13:47:21.788879,13:47:47.970264,1,-1.0
